record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0009999275207519531,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}"
validated,2,9333.020975737812,8718.4478883,18756.05469123504,1.0096445448899571,0.09799981117248535,33,"{""1"": [21, 22, 32], ""2"": [2, 3, 10, 15, 16, 27, 33, 34], ""3"": [6, 25, 26, 30, 35], ""4"": [4, 7, 17, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29, 31]}"
validated,3,9576.627365406714,8881.2810003,18756.05469123504,0.9585240163971319,0.3319997787475586,33,"{""1"": [21, 22, 32], ""2"": [3, 9, 10, 15, 16, 27, 33, 34], ""3"": [6, 25, 26, 30, 35], ""4"": [4, 7, 17, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29, 31]}"
validated,4,11009.883376047197,7071.7086432,18756.05469123504,0.7035652468435953,0.5699999332427979,32,"{""1"": [21, 22, 32], ""2"": [3, 9, 15, 16, 27, 33, 34], ""3"": [6, 25, 26, 30, 35], ""4"": [4, 7, 17, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29, 31]}"
validated,5,11261.029164944615,6439.0248411,18756.05469123504,0.6655719842749637,0.7439999580383301,31,"{""1"": [21, 22, 32], ""2"": [3, 9, 15, 16, 27, 34], ""3"": [6, 25, 26, 30, 35], ""4"": [4, 7, 17, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29, 31]}"
validated,6,11267.688068597683,5465.917833,18604.16501868022,0.6511075657595479,1.0029997825622559,30,"{""1"": [21, 22, 32], ""2"": [3, 9, 15, 16, 27, 34], ""3"": [6, 25, 26, 30, 35], ""4"": [4, 7, 17, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 19, 20, 23, 29, 31]}"
validated,7,11302.205557601405,7026.1796166,18384.22219035761,0.6266048336019804,1.4739999771118164,31,"{""1"": [17, 21, 22, 32], ""2"": [3, 4, 9, 10, 15, 16, 23, 27], ""3"": [6, 25, 26, 30], ""4"": [7, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 19, 20, 24, 29, 31, 35]}"
validated,8,11557.698480785431,6460.8291732,18384.22219035761,0.5906473266214041,1.678999900817871,31,"{""1"": [17, 21, 22, 32], ""2"": [3, 4, 9, 10, 15, 23, 27], ""3"": [6, 25, 26, 30, 35], ""4"": [7, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 16, 19, 20, 24, 29, 31]}"
validated,9,12110.727147325915,5531.4841602,18384.22219035761,0.5180114262930035,1.7549998760223389,30,"{""1"": [17, 21, 22, 32], ""2"": [3, 4, 9, 15, 23, 27], ""3"": [6, 25, 26, 30, 35], ""4"": [7, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 16, 19, 20, 24, 29, 31]}"
validated,10,12586.179332120018,5110.4241423,18384.168750281697,0.4606631818255734,1.9129998683929443,30,"{""1"": [17, 21, 22, 32], ""2"": [3, 4, 9, 15, 23, 27], ""3"": [14, 25, 26, 30, 35], ""4"": [7, 18], ""5"": [1, 5, 6, 8, 11, 12, 13, 16, 19, 20, 24, 29, 31]}"
validated,11,12675.723818336182,5422.3507587,18273.092591740293,0.4415817868567936,3.509999990463257,31,"{""1"": [17, 21, 22, 31, 32], ""2"": [3, 4, 9, 10, 15, 16, 23, 27], ""3"": [25, 26, 30], ""4"": [7, 18], ""5"": [1, 5, 6, 8, 11, 12, 13, 14, 19, 20, 24, 29, 35]}"
validated,12,12697.215314308545,4728.5092515,18273.092591740293,0.43914174402857203,4.597999811172485,32,"{""1"": [14, 21, 22, 31, 32], ""2"": [2, 3, 4, 9, 10, 15, 27, 28], ""3"": [1, 25, 26, 35], ""4"": [7, 17, 18], ""5"": [5, 6, 8, 11, 12, 13, 16, 19, 20, 23, 24, 29]}"
validated,13,12973.445364310028,3968.8178721,18273.092591740293,0.40849959888138926,5.054999828338623,32,"{""1"": [2, 17, 21, 22, 31, 32], ""2"": [4, 9, 10, 15, 27, 28, 33, 34], ""3"": [25, 26, 30], ""4"": [7, 18, 23], ""5"": [1, 6, 8, 11, 12, 13, 14, 19, 20, 24, 29, 35]}"
validated,14,13032.528244491532,4457.555217,18273.092591740293,0.4021141753108261,5.166999816894531,32,"{""1"": [17, 21, 22, 31, 32], ""2"": [3, 9, 10, 12, 15, 16, 23, 33], ""3"": [25, 26, 30], ""4"": [4, 7, 18, 27], ""5"": [1, 5, 6, 8, 11, 13, 14, 19, 20, 24, 29, 35]}"
validated,15,13094.144027645307,4681.5804948,18227.122737645495,0.3920056705625867,10.899999856948853,31,"{""1"": [17, 21, 22, 31, 32], ""2"": [3, 4, 9, 10, 15, 27, 30, 33], ""3"": [6, 26, 35], ""4"": [7, 18], ""5"": [1, 5, 8, 11, 12, 13, 14, 16, 19, 20, 23, 24, 29]}"
validated,16,13888.276807688835,2087.9900331,18227.122737645495,0.312410674847335,11.07099986076355,29,"{""1"": [6, 17, 22, 32, 35], ""2"": [4, 12, 15, 16, 27, 34], ""3"": [25, 26, 30], ""4"": [7, 13, 18], ""5"": [1, 5, 8, 9, 11, 14, 19, 20, 21, 24, 29, 31]}"
validated,17,14723.19770115113,1426.983897,18208.774531121635,0.2367404758612992,13.688999891281128,29,"{""1"": [6, 17, 22, 32, 35], ""2"": [4, 9, 15, 16, 27, 34], ""3"": [25, 26, 30], ""4"": [7, 13, 18], ""5"": [1, 5, 8, 11, 12, 14, 19, 20, 21, 24, 29, 31]}"
validated,18,15213.717400132466,877.558755,18176.44074381218,0.19474026404972658,14.985999822616577,28,"{""1"": [6, 17, 22, 32], ""2"": [4, 9, 15, 16, 27, 34], ""3"": [25, 26, 30], ""4"": [7, 13, 18], ""5"": [1, 5, 8, 11, 12, 14, 19, 20, 21, 24, 29, 31]}"
validated,19,15276.28383978835,1036.0747422,17954.820903265576,0.17533957155867672,49.19399976730347,29,"{""1"": [6, 17, 21, 22, 32], ""2"": [9, 10, 15, 16, 27, 34], ""3"": [25, 26, 30], ""4"": [7, 13, 18], ""5"": [1, 5, 8, 11, 12, 14, 19, 20, 24, 29, 31, 35]}"
validated,20,15340.246346761885,1086.5556408,17954.820903265576,0.17043888979368255,49.41599988937378,28,"{""1"": [6, 17, 22, 32], ""2"": [4, 9, 15, 16, 27, 34], ""3"": [25, 26, 35], ""4"": [7, 13, 18], ""5"": [1, 5, 8, 11, 12, 14, 19, 20, 21, 24, 29, 31]}"
validated,21,15603.244817412806,638.4795978,17954.820903265576,0.15071070878978157,50.06499981880188,28,"{""1"": [17, 22, 31, 32], ""2"": [4, 9, 15, 16, 27, 34], ""3"": [25, 26, 30], ""4"": [7, 13, 18], ""5"": [1, 5, 6, 8, 11, 12, 14, 19, 20, 21, 24, 29]}"
validated,22,15731.779325863896,863.2342776,17939.656417948678,0.14034503321915484,56.80399990081787,28,"{""1"": [14, 17, 22, 31, 32], ""2"": [4, 9, 15, 16, 27, 34], ""3"": [25, 26, 35], ""4"": [7, 18], ""5"": [1, 5, 6, 8, 11, 12, 13, 19, 20, 21, 24, 29]}"
validated,23,15925.050960667864,1065.5574141,17832.32869349218,0.1197658794018911,156.17499995231628,29,"{""1"": [17, 21, 22, 31, 32], ""2"": [4, 9, 15, 16, 27, 34], ""3"": [14, 25, 26, 35], ""4"": [7, 18], ""5"": [1, 5, 6, 8, 11, 12, 13, 19, 20, 23, 24, 29]}"
validated,24,16219.76345170412,361.0245891,17832.32869349218,0.09941977554664262,156.35599994659424,28,"{""1"": [17, 21, 22, 31, 32], ""2"": [4, 9, 15, 16, 26, 27], ""3"": [14, 25, 35], ""4"": [7, 18], ""5"": [1, 5, 6, 8, 11, 12, 13, 19, 20, 23, 24, 29]}"
validated,25,16240.929159554513,316.0629723,17832.32869349218,0.09798697588687227,156.73599982261658,28,"{""1"": [17, 21, 22, 31, 32], ""2"": [4, 9, 15, 16, 26, 27], ""3"": [25, 30, 35], ""4"": [7, 18], ""5"": [1, 6, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29]}"
validated,26,16310.425642028087,304.6667763,17472.473276156237,0.07124569644177953,1759.287999868393,28,"{""1"": [17, 21, 22, 31, 32], ""2"": [4, 9, 15, 16, 27, 33], ""3"": [25, 26, 35], ""4"": [7, 18], ""5"": [1, 6, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29]}"
final_result,final,16310.425642028087,304.6667763,17471.08815406465,0.0711607739436188,1800.7509999275208,28,"{""1"": [17, 21, 22, 31, 32], ""2"": [4, 9, 15, 16, 27, 33], ""3"": [25, 26, 35], ""4"": [7, 18], ""5"": [1, 6, 8, 11, 12, 13, 14, 19, 20, 23, 24, 29]}"
