record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0009999275207519531,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": []}"
validated,2,1106.510180256955,0.0,23556.937683178305,20.289399865899007,0.24899983406066895,5,"{""1"": [66], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [6, 18, 59, 65], ""7"": []}"
validated,3,2184.945860578273,0.0,23532.08438974827,9.770099531674536,0.3269999027252197,5,"{""1"": [], ""2"": [18, 65], ""3"": [], ""4"": [], ""5"": [6], ""6"": [66], ""7"": [59]}"
validated,4,3472.527068587432,0.0,23506.826844209332,5.769371809035755,0.4240000247955322,9,"{""1"": [], ""2"": [18, 65], ""3"": [2, 20, 40, 62], ""4"": [], ""5"": [6], ""6"": [66], ""7"": [59]}"
validated,5,5017.719056582145,0.0,23478.312679892508,3.6790807566426267,0.5199999809265137,9,"{""1"": [], ""2"": [2, 18, 65], ""3"": [], ""4"": [62], ""5"": [6, 40], ""6"": [20, 66], ""7"": [59]}"
validated,6,6179.9183892468845,0.0,23418.7612612979,2.789493612415135,0.6979999542236328,14,"{""1"": [], ""2"": [2, 18, 65], ""3"": [], ""4"": [56, 62], ""5"": [3, 6, 27, 40, 57, 63], ""6"": [20, 66], ""7"": [59]}"
validated,7,7714.638301809203,0.0,23398.691725526765,2.033025115388677,0.7890000343322754,14,"{""1"": [], ""2"": [2, 18, 56, 65], ""3"": [], ""4"": [62], ""5"": [6, 40, 63], ""6"": [20, 27, 66], ""7"": [3, 57, 59]}"
validated,8,9598.73647044231,0.0,23389.261389179712,1.4367021077412632,1.3020000457763672,20,"{""1"": [], ""2"": [2, 18, 56, 65], ""3"": [], ""4"": [62], ""5"": [6, 19, 39, 40, 48, 50, 63], ""6"": [20, 27, 66], ""7"": [3, 16, 36, 57, 59]}"
validated,9,10368.1887231651,0.0,23383.543529926297,1.255316155432402,1.366999864578247,20,"{""1"": [], ""2"": [2, 18, 48, 56, 65], ""3"": [], ""4"": [50, 62], ""5"": [6, 40, 63], ""6"": [20, 27, 66], ""7"": [3, 16, 19, 36, 39, 57, 59]}"
validated,10,13619.322448334427,1062.5631555000002,23293.403031874484,0.7103202542005419,5.500999927520752,31,"{""1"": [], ""2"": [2, 18, 23, 37, 48, 56, 65], ""3"": [], ""4"": [9, 33, 50, 52, 62], ""5"": [6, 40, 63], ""6"": [20, 24, 27, 30, 42, 66], ""7"": [3, 16, 19, 36, 39, 41, 47, 57, 58, 59]}"
