factory,var_type,var_name,order,machine,value
1,start,"start[1,1]",1,1,1.3
1,start,"start[1,2]",1,2,6.317667
1,start,"start[1,3]",1,3,11.955417
1,start,"start[1,4]",1,4,17.399946
1,start,"start[10,1]",10,1,6.317667
1,start,"start[10,2]",10,2,15.885439
1,start,"start[10,3]",10,3,27.022479
1,start,"start[10,4]",10,4,37.04161
1,start,"start[17,1]",17,1,39.181876
1,start,"start[17,2]",17,2,51.518401
1,start,"start[17,3]",17,3,61.675514
1,start,"start[17,4]",17,4,73.078318
1,start,"start[24,1]",24,1,33.992162
1,start,"start[24,2]",24,2,45.400195
1,start,"start[24,3]",24,3,56.111623
1,start,"start[24,4]",24,4,67.261342
1,start,"start[25,1]",25,1,18.7
1,start,"start[25,2]",25,2,27.022479
1,start,"start[25,3]",25,3,37.04161
1,start,"start[25,4]",25,4,47.35177
1,start,"start[26,1]",26,1,24.56619
1,start,"start[26,2]",26,2,33.992162
1,start,"start[26,3]",26,3,45.400195
1,start,"start[26,4]",26,4,56.111623
1,o,"o[1,1]",1,1,6.317667
1,o,"o[1,2]",1,2,11.955417
1,o,"o[1,3]",1,3,17.399946
1,o,"o[1,4]",1,4,23.182916
1,o,"o[10,1]",10,1,15.885439
1,o,"o[10,2]",10,2,27.022479
1,o,"o[10,3]",10,3,37.04161
1,o,"o[10,4]",10,4,47.35177
1,o,"o[17,1]",17,1,46.48676
1,o,"o[17,2]",17,2,59.87902
1,o,"o[17,3]",17,3,68.987471
1,o,"o[17,4]",17,4,80.812331
1,o,"o[24,1]",24,1,39.181876
1,o,"o[24,2]",24,2,51.518401
1,o,"o[24,3]",24,3,61.675514
1,o,"o[24,4]",24,4,73.078318
1,o,"o[25,1]",25,1,24.56619
1,o,"o[25,2]",25,2,33.728433
1,o,"o[25,3]",25,3,43.879731
1,o,"o[25,4]",25,4,53.87136
1,o,"o[26,1]",26,1,33.992162
1,o,"o[26,2]",26,2,45.400195
1,o,"o[26,3]",26,3,56.111623
1,o,"o[26,4]",26,4,67.261342
1,t,t[1],1,,24.982916
1,t,t[10],10,,49.35177
1,t,t[17],17,,82.512331
1,t,t[24],24,,78.178318
1,t,t[25],25,,58.07136
1,t,t[26],26,,72.861342
1,d,d[1],1,,0.0
1,d,d[10],10,,0.0
1,d,d[17],17,,0.0
1,d,d[24],24,,3.478318
1,d,d[25],25,,0.0
1,d,d[26],26,,1.861342
2,start,"start[5,1]",5,1,45.945227
2,start,"start[5,2]",5,2,52.56655
2,start,"start[5,3]",5,3,62.022744
2,start,"start[7,1]",7,1,38.29759
2,start,"start[7,2]",7,2,58.50021
