factory,var_type,var_name,order,machine,value
1,start,"start[3,1]",3,1,8.360816
1,start,"start[3,2]",3,2,17.510786
1,start,"start[3,3]",3,3,26.624504
1,start,"start[3,4]",3,4,36.949641
1,start,"start[3,5]",3,5,46.327543
1,start,"start[18,1]",18,1,17.4
1,start,"start[18,2]",18,2,26.72037
1,start,"start[18,3]",18,3,36.155737
1,start,"start[18,4]",18,4,46.910693
1,start,"start[18,5]",18,5,57.025474
1,start,"start[19,1]",19,1,26.72037
1,start,"start[19,2]",19,2,38.906893
1,start,"start[19,3]",19,3,50.682569
1,start,"start[19,4]",19,4,64.028116
1,start,"start[19,5]",19,5,76.895464
1,start,"start[27,1]",27,1,38.906893
1,start,"start[27,2]",27,2,53.543778
1,start,"start[27,3]",27,3,68.15751
1,start,"start[27,4]",27,4,84.364806
1,start,"start[27,5]",27,5,100.160718
1,o,"o[3,1]",3,1,17.4
1,o,"o[3,2]",3,2,26.624504
1,o,"o[3,3]",3,3,36.155737
1,o,"o[3,4]",3,4,46.327543
1,o,"o[3,5]",3,5,57.025474
1,o,"o[18,1]",18,1,26.72037
1,o,"o[18,2]",18,2,36.155737
1,o,"o[18,3]",18,3,46.910693
1,o,"o[18,4]",18,4,57.025474
1,o,"o[18,5]",18,5,67.967224
1,o,"o[19,1]",19,1,38.906893
1,o,"o[19,2]",19,2,50.682569
1,o,"o[19,3]",19,3,64.028116
1,o,"o[19,4]",19,4,76.895464
1,o,"o[19,5]",19,5,91.295354
1,o,"o[27,1]",27,1,53.543778
1,o,"o[27,2]",27,2,68.15751
1,o,"o[27,3]",27,3,84.364806
1,o,"o[27,4]",27,4,100.160718
1,o,"o[27,5]",27,5,117.234874
1,t,t[3],3,,61.925474
1,t,t[18],18,,72.667224
1,t,t[19],19,,94.295354
1,t,t[27],27,,118.534874
1,d,d[3],3,,0.0
1,d,d[18],18,,0.0
1,d,d[19],19,,2.795354
1,d,d[27],27,,12.834874
2,start,"start[4,1]",4,1,15.46465
2,start,"start[4,2]",4,2,24.199805
2,start,"start[4,3]",4,3,32.548843
2,start,"start[5,1]",5,1,33.923503
2,start,"start[5,2]",5,2,43.253532
2,start,"start[5,3]",5,3,51.251909
2,start,"start[6,1]",6,1,1.8
2,start,"start[6,2]",6,2,8.835777
2,start,"start[6,3]",6,3,15.456281
2,start,"start[14,1]",14,1,49.704197
2,start,"start[14,2]",14,2,58.568436
2,start,"start[14,3]",14,3,67.093573
2,start,"start[17,1]",17,1,24.199805
2,start,"start[17,2]",17,2,33.923503
2,start,"start[17,3]",17,3,43.253532
2,start,"start[21,1]",21,1,58.568436
2,start,"start[21,2]",21,2,68.213996
2,start,"start[21,3]",21,3,77.0095
2,start,"start[22,1]",22,1,8.835777
2,start,"start[22,2]",22,2,15.46465
2,start,"start[22,3]",22,3,22.065484
2,start,"start[28,1]",28,1,40.731999
2,start,"start[28,2]",28,2,49.995645
