factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,6,1,2.2,11.656879,11.656879,53.895106,0.0
1,6,2,11.656879,20.720375,20.720375,53.895106,0.0
1,6,3,20.720375,29.763107,29.763107,53.895106,0.0
1,6,4,29.763107,39.795607,39.795607,53.895106,0.0
1,6,5,39.795607,49.695106,49.695106,53.895106,0.0
1,7,1,42.725147,53.303088,53.303088,106.035494,0.0
1,7,2,53.66562,64.577068,64.577068,106.035494,0.0
1,7,3,64.577068,75.388444,75.388444,106.035494,0.0
1,7,4,75.563879,86.249291,86.249291,106.035494,0.0
1,7,5,88.454116,99.535494,99.535494,106.035494,0.0
1,10,1,21.045272,32.061824,32.061824,79.412853,0.0
1,10,2,32.061824,42.404022,42.404022,79.412853,0.0
1,10,3,42.404022,53.185534,53.185534,79.412853,0.0
1,10,4,53.185534,64.60382,64.60382,79.412853,0.0
1,10,5,64.60382,76.612853,76.612853,79.412853,0.0
1,23,1,32.061824,42.725147,42.725147,94.454116,0.0
1,23,2,42.725147,53.66562,53.66562,94.454116,0.0
1,23,3,53.66562,64.381167,64.381167,94.454116,0.0
1,23,4,64.60382,75.563879,75.563879,94.454116,0.0
1,23,5,76.612853,88.454116,88.454116,94.454116,0.0
1,29,1,12.1,21.045272,21.045272,67.012097,0.0
1,29,2,21.045272,29.882527,29.882527,67.012097,0.0
1,29,3,29.882527,38.455471,38.455471,67.012097,0.0
1,29,4,39.795607,48.725102,48.725102,67.012097,0.0
1,29,5,49.695106,59.312097,59.312097,67.012097,0.0
2,5,1,9.885208,17.237798,17.237798,54.723366,0.0
2,5,2,20.012941,27.861107,27.861107,54.723366,0.0
2,5,3,29.346912,36.790798,36.790798,54.723366,0.0
2,5,4,39.972872,48.723366,48.723366,54.723366,0.0
2,8,1,48.827683,57.928659,57.928659,97.026495,0.126495
2,8,2,65.637345,75.22357,75.22357,97.026495,0.126495
2,8,3,75.22357,84.321192,84.321192,97.026495,0.126495
2,8,4,84.440392,95.426495,95.426495,97.026495,0.126495
2,12,1,1.1,9.885208,9.885208,43.572872,0.0
2,12,2,9.885208,20.012941,20.012941,43.572872,0.0
2,12,3,20.012941,29.346912,29.346912,43.572872,0.0
2,12,4,29.346912,39.972872,39.972872,43.572872,0.0
2,13,1,27.360563,33.409162,33.409162,72.180107,0.0
2,13,2,38.419399,44.916511,44.916511,72.180107,0.0
2,13,3,48.701117,55.161561,55.161561,72.180107,0.0
2,13,4,60.389196,66.980107,66.980107,72.180107,0.0
2,15,1,33.409162,41.359027,41.359027,90.640392,0.140392
2,15,2,56.666435,65.637345,65.637345,90.640392,0.140392
2,15,3,65.637345,73.975454,73.975454,90.640392,0.140392
2,15,4,75.032225,84.440392,84.440392,90.640392,0.140392
2,25,1,17.237798,27.360563,27.360563,67.889196,0.0
2,25,2,27.861107,38.419399,38.419399,67.889196,0.0
2,25,3,38.419399,48.701117,48.701117,67.889196,0.0
2,25,4,48.723366,60.389196,60.389196,67.889196,0.0
2,27,1,41.359027,48.827683,48.827683,78.332225,0.0
2,27,2,48.827683,56.666435,56.666435,78.332225,0.0
2,27,3,56.666435,64.131965,64.131965,78.332225,0.0
2,27,4,66.980107,75.032225,75.032225,78.332225,0.0
3,3,1,8.805483,14.345295,14.345295,44.941164,0.0
3,3,2,14.805543,21.825304,21.825304,44.941164,0.0
3,3,3,21.825304,27.627476,27.627476,44.941164,0.0
3,3,4,27.627476,34.538601,34.538601,44.941164,0.0
3,3,5,34.538601,40.541164,40.541164,44.941164,0.0
3,9,1,14.345295,21.075191,21.075191,58.430936,0.0
3,9,2,21.825304,29.970177,29.970177,58.430936,0.0
3,9,3,29.970177,36.967723,36.967723,58.430936,0.0
3,9,4,36.967723,45.555135,45.555135,58.430936,0.0
3,9,5,45.555135,52.530936,52.530936,58.430936,0.0
3,11,1,3.7,8.805483,8.805483,38.926183,0.0
3,11,2,8.805483,14.805543,14.805543,38.926183,0.0
3,11,3,14.805543,20.115343,20.115343,38.926183,0.0
3,11,4,20.115343,26.31488,26.31488,38.926183,0.0
3,11,5,26.31488,31.526183,31.526183,38.926183,0.0
3,16,1,28.787622,37.652124,37.652124,87.444917,0.0
3,16,2,39.275025,49.986182,49.986182,87.444917,0.0
3,16,3,49.986182,59.352666,59.352666,87.444917,0.0
3,16,4,59.352666,69.998395,69.998395,87.444917,0.0
3,16,5,69.998395,79.544917,79.544917,87.444917,0.0
3,19,1,37.652124,47.926643,47.926643,98.939022,5.439022
3,19,2,49.986182,62.052129,62.052129,98.939022,5.439022
3,19,3,62.052129,72.010978,72.010978,98.939022,5.439022
3,19,4,72.010978,83.728932,83.728932,98.939022,5.439022
3,19,5,83.728932,93.739022,93.739022,98.939022,5.439022
3,28,1,47.926643,57.395588,57.395588,106.715956,0.0
3,28,2,62.052129,73.952769,73.952769,106.715956,0.0
3,28,3,73.952769,83.725759,83.725759,106.715956,0.0
3,28,4,83.728932,94.746079,94.746079,106.715956,0.0
3,28,5,94.746079,104.315956,104.315956,106.715956,0.0
3,30,1,21.075191,28.787622,28.787622,67.68218,0.0
3,30,2,29.970177,39.275025,39.275025,67.68218,0.0
3,30,3,39.275025,46.996445,46.996445,67.68218,0.0
3,30,4,46.996445,56.101515,56.101515,67.68218,0.0
3,30,5,56.101515,63.98218,63.98218,67.68218,0.0
