factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,8,1,2.6,11.274933,11.274933,46.044176,0.0
1,8,2,11.274933,19.774995,19.774995,46.044176,0.0
1,8,3,19.774995,28.08239,28.08239,46.044176,0.0
1,8,4,28.08239,36.299233,36.299233,46.044176,0.0
1,8,5,36.299233,44.244176,44.244176,46.044176,0.0
1,19,1,34.937916,41.545884,41.545884,79.794267,6.894267
1,19,2,44.042457,50.546532,50.546532,79.794267,6.894267
1,19,3,52.25457,58.459925,58.459925,79.794267,6.894267
1,19,4,60.399813,66.479134,66.479134,79.794267,6.894267
1,19,5,68.997015,75.394267,75.394267,79.794267,6.894267
1,21,1,27.115067,34.937916,34.937916,72.497015,2.097015
1,21,2,36.501538,44.042457,44.042457,72.497015,2.097015
1,21,3,44.9525,52.25457,52.25457,72.497015,2.097015
1,21,4,53.404965,60.399813,60.399813,72.497015,2.097015
1,21,5,62.062277,68.997015,68.997015,72.497015,2.097015
1,31,1,49.432417,57.143684,57.143684,90.893783,0.0
1,31,2,57.772347,65.709682,65.709682,90.893783,0.0
1,31,3,66.058361,73.978825,73.978825,90.893783,0.0
1,31,4,73.987096,81.753525,81.753525,90.893783,0.0
1,31,5,82.945312,90.593783,90.593783,90.893783,0.0
1,32,1,65.23156,69.950076,69.950076,96.095568,0.0
1,32,2,73.075577,77.664809,77.664809,96.095568,0.0
1,32,3,81.461311,86.003863,86.003863,96.095568,0.0
1,32,4,86.003863,90.699942,90.699942,96.095568,0.0
1,32,5,90.699942,95.195568,95.195568,96.095568,0.0
1,45,1,20.870844,27.115067,27.115067,66.262277,0.0
1,45,2,30.124183,36.501538,36.501538,66.262277,0.0
1,45,3,39.106301,44.9525,44.9525,66.262277,0.0
1,45,4,47.822478,53.404965,53.404965,66.262277,0.0
1,45,5,56.471586,62.062277,62.062277,66.262277,0.0
1,49,1,11.274933,20.870844,20.870844,57.471586,0.0
1,49,2,20.870844,30.124183,30.124183,57.471586,0.0
1,49,3,30.124183,39.106301,39.106301,57.471586,0.0
1,49,4,39.106301,47.822478,47.822478,57.471586,0.0
1,49,5,47.822478,56.471586,56.471586,57.471586,0.0
1,53,1,41.545884,49.432417,49.432417,85.045312,0.0
1,53,2,50.546532,57.772347,57.772347,85.045312,0.0
1,53,3,58.459925,66.058361,66.058361,85.045312,0.0
1,53,4,66.479134,73.987096,73.987096,85.045312,0.0
1,53,5,75.394267,82.945312,82.945312,85.045312,0.0
1,55,1,57.143684,65.23156,65.23156,113.457568,0.0
1,55,2,65.709682,73.075577,73.075577,113.457568,0.0
1,55,3,73.978825,81.461311,81.461311,113.457568,0.0
1,55,4,90.699942,98.196357,98.196357,113.457568,0.0
1,55,5,98.196357,105.357568,105.357568,113.457568,0.0
2,3,1,13.414674,21.771139,21.771139,42.361275,0.0
2,3,2,21.771139,29.519079,29.519079,42.361275,0.0
2,3,3,29.519079,38.061275,38.061275,42.361275,0.0
2,4,1,6.2,13.414674,13.414674,32.537424,0.0
2,4,2,13.414674,20.135547,20.135547,32.537424,0.0
2,4,3,20.135547,27.337424,27.337424,32.537424,0.0
2,11,1,69.573285,81.717623,81.717623,112.59106,1.09106
2,11,2,81.717623,92.553687,92.553687,112.59106,1.09106
2,11,3,92.553687,104.89106,104.89106,112.59106,1.09106
2,16,1,23.5,30.404824,30.404824,55.129358,0.0
2,16,2,30.404824,36.890596,36.890596,55.129358,0.0
2,16,3,38.061275,44.729358,44.729358,55.129358,0.0
2,25,1,44.974886,52.328138,52.328138,72.779697,0.0
2,25,2,52.828915,59.988877,59.988877,72.779697,0.0
2,25,3,61.336635,69.379697,69.379697,72.779697,0.0
2,34,1,52.328138,62.12997,62.12997,85.055739,0.0
2,34,2,62.12997,72.157549,72.157549,85.055739,0.0
2,34,3,72.157549,81.955739,81.955739,85.055739,0.0
2,39,1,38.657477,44.974886,44.974886,64.436635,0.0
2,39,2,46.731057,52.828915,52.828915,64.436635,0.0
2,39,3,55.208825,61.336635,61.336635,64.436635,0.0
2,56,1,30.404824,38.657477,38.657477,59.308825,0.0
2,56,2,38.657477,46.731057,46.731057,59.308825,0.0
2,56,3,46.731057,55.208825,55.208825,59.308825,0.0
2,57,1,62.12997,69.573285,69.573285,89.680646,0.0
2,57,2,72.157549,79.287358,79.287358,89.680646,0.0
2,57,3,81.955739,89.380646,89.380646,89.680646,0.0
3,6,1,58.962381,65.4685,65.4685,94.569877,0.0
3,6,2,67.363681,74.027086,74.027086,94.569877,0.0
3,6,3,76.506743,84.042723,84.042723,94.569877,0.0
3,6,4,85.845597,93.169877,93.169877,94.569877,0.0
3,12,1,12.3,19.490229,19.490229,47.302455,0.0
3,12,2,19.490229,27.349291,27.349291,47.302455,0.0
3,12,3,27.349291,36.321282,36.321282,47.302455,0.0
3,12,4,36.321282,44.502455,44.502455,47.302455,0.0
3,13,1,46.5,50.928386,50.928386,69.715454,0.0
3,13,2,50.928386,55.683732,55.683732,69.715454,0.0
3,13,3,55.683732,60.578492,60.578492,69.715454,0.0
3,13,4,62.711445,67.815454,67.815454,69.715454,0.0
3,33,1,19.490229,27.12651,27.12651,57.641097,0.0
3,33,2,27.349291,35.623548,35.623548,57.641097,0.0
3,33,3,36.321282,45.646235,45.646235,57.641097,0.0
3,33,4,45.646235,54.441097,54.441097,57.641097,0.0
3,42,1,65.4685,73.756822,73.756822,104.780537,0.0
3,42,2,74.027086,83.170673,83.170673,104.780537,0.0
3,42,3,84.042723,93.516563,93.516563,104.780537,0.0
3,42,4,93.516563,102.480537,102.480537,104.780537,0.0
3,51,1,31.0,38.322788,38.322788,65.511445,0.0
3,51,2,38.322788,46.241006,46.241006,65.511445,0.0
3,51,3,46.241006,54.128226,54.128226,65.511445,0.0
3,51,4,54.441097,62.711445,62.711445,65.511445,0.0
3,54,1,50.928386,58.962381,58.962381,91.145597,0.0
3,54,2,58.962381,67.363681,67.363681,91.145597,0.0
3,54,3,67.363681,76.506743,76.506743,91.145597,0.0
3,54,4,76.506743,85.845597,85.845597,91.145597,0.0
4,2,1,35.888651,48.474682,48.474682,75.715198,0.0
4,2,2,48.474682,60.163605,60.163605,75.715198,0.0
4,2,3,60.163605,72.615198,72.615198,75.715198,0.0
4,18,1,48.474682,60.849795,60.849795,86.294233,0.0
4,18,2,60.849795,71.593973,71.593973,86.294233,0.0
4,18,3,72.615198,84.194233,84.194233,86.294233,0.0
4,23,1,70.186713,78.995693,78.995693,102.810711,0.910711
4,23,2,80.20897,88.659086,88.659086,102.810711,0.910711
4,23,3,93.330348,101.710711,101.710711,102.810711,0.910711
4,24,1,60.849795,70.186713,70.186713,97.330348,0.0
4,24,2,71.593973,80.20897,80.20897,97.330348,0.0
4,24,3,84.194233,93.330348,93.330348,97.330348,0.0
4,37,1,23.030842,35.888651,35.888651,61.135643,0.0
4,37,2,35.888651,47.702996,47.702996,61.135643,0.0
4,37,3,47.702996,59.435643,59.435643,61.135643,0.0
4,38,1,15.4,23.030842,23.030842,41.847663,0.0
4,38,2,23.030842,29.663622,29.663622,41.847663,0.0
4,38,3,29.663622,36.247663,36.247663,41.847663,0.0
5,5,1,49.425215,55.971328,55.971328,79.220325,0.0
5,5,2,59.393862,64.979439,64.979439,79.220325,0.0
5,5,3,71.304336,77.420325,77.420325,79.220325,0.0
5,30,1,55.971328,67.024709,67.024709,88.389947,0.0
5,30,2,67.024709,77.019499,77.019499,88.389947,0.0
5,30,3,77.420325,87.989947,87.989947,88.389947,0.0
5,40,1,67.024709,75.205236,75.205236,97.290807,0.290807
5,40,2,77.019499,85.052189,85.052189,97.290807,0.290807
5,40,3,87.989947,96.590807,96.590807,97.290807,0.290807
5,41,1,29.537373,40.785076,40.785076,64.835908,0.0
5,41,2,40.785076,51.076412,51.076412,64.835908,0.0
5,41,3,51.076412,62.635908,62.635908,64.835908,0.0
5,43,1,12.707661,21.973072,21.973072,40.692279,0.0
5,43,2,21.973072,30.333044,30.333044,40.692279,0.0
5,43,3,31.137876,39.692279,39.692279,40.692279,0.0
5,46,1,40.785076,49.425215,49.425215,72.604336,0.0
5,46,2,51.076412,59.393862,59.393862,72.604336,0.0
5,46,3,62.635908,71.304336,71.304336,72.604336,0.0
5,52,1,21.973072,29.537373,29.537373,49.723421,0.0
5,52,2,30.333044,37.318634,37.318634,49.723421,0.0
5,52,3,39.692279,47.023421,47.023421,49.723421,0.0
5,60,1,2.7,12.707661,12.707661,35.537876,0.0
5,60,2,12.707661,21.604622,21.604622,35.537876,0.0
5,60,3,21.604622,31.137876,31.137876,35.537876,0.0
6,7,1,56.3856,65.084682,65.084682,92.270325,0.0
6,7,2,67.474499,75.642437,75.642437,92.270325,0.0
6,7,3,81.875585,91.670325,91.670325,92.270325,0.0
6,10,1,65.084682,75.064207,75.064207,105.383129,6.083129
6,10,2,75.642437,85.373429,85.373429,105.383129,6.083129
6,10,3,91.670325,103.083129,103.083129,105.383129,6.083129
6,28,1,25.750903,35.63818,35.63818,62.904937,0.0
6,28,2,35.63818,45.61795,45.61795,62.904937,0.0
6,28,3,45.61795,56.804937,56.804937,62.904937,0.0
6,29,1,35.63818,48.074309,48.074309,78.516331,0.0
6,29,2,48.074309,59.195707,59.195707,78.516331,0.0
6,29,3,59.195707,72.316331,72.316331,78.516331,0.0
6,47,1,48.074309,56.3856,56.3856,87.175585,3.975585
6,47,2,59.195707,67.474499,67.474499,87.175585,3.975585
6,47,3,72.316331,81.875585,81.875585,87.175585,3.975585
6,50,1,19.2,25.750903,25.750903,45.662229,0.0
6,50,2,25.750903,31.783726,31.783726,45.662229,0.0
6,50,3,31.783726,38.962229,38.962229,45.662229,0.0
6,59,1,3.0,11.504456,11.504456,35.658787,0.0
6,59,2,11.504456,19.685779,19.685779,35.658787,0.0
6,59,3,19.685779,28.858787,28.858787,35.658787,0.0
7,1,1,28.978578,38.791571,38.791571,73.436707,0.0
7,1,2,38.791571,49.097123,49.097123,73.436707,0.0
7,1,3,49.097123,59.449803,59.449803,73.436707,0.0
7,1,4,59.449803,70.436707,70.436707,73.436707,0.0
7,14,1,38.791571,47.168855,47.168855,81.098292,0.0
7,14,2,49.097123,58.38874,58.38874,81.098292,0.0
7,14,3,59.449803,68.073501,68.073501,81.098292,0.0
7,14,4,70.436707,79.398292,79.398292,81.098292,0.0
7,44,1,53.3,59.762318,59.762318,88.491233,0.0
7,44,2,59.762318,66.579596,66.579596,88.491233,0.0
7,44,3,68.073501,75.124824,75.124824,88.491233,0.0
7,44,4,79.398292,86.091233,86.091233,88.491233,0.0
7,48,1,14.3,20.927627,20.927627,44.740198,0.0
7,48,2,20.927627,28.22348,28.22348,44.740198,0.0
7,48,3,28.22348,35.187921,35.187921,44.740198,0.0
7,48,4,35.187921,42.240198,42.240198,44.740198,0.0
7,58,1,20.927627,28.978578,28.978578,59.254593,0.0
7,58,2,28.978578,38.096608,38.096608,59.254593,0.0
7,58,3,38.096608,46.743434,46.743434,59.254593,0.0
7,58,4,46.743434,55.654593,55.654593,59.254593,0.0
