factory,var_type,var_name,order,machine,value
1,start,"start[21,1]",21,1,60.704074
1,start,"start[21,2]",21,2,73.340407
1,start,"start[21,3]",21,3,85.08746
1,start,"start[21,4]",21,4,96.433776
1,start,"start[21,5]",21,5,108.68125
1,start,"start[43,1]",43,1,19.790891
1,start,"start[43,2]",43,2,28.400527
1,start,"start[43,3]",43,3,36.477705
1,start,"start[43,4]",43,4,44.440765
1,start,"start[43,5]",43,5,53.796689
1,start,"start[45,1]",45,1,51.233257
1,start,"start[45,2]",45,2,61.105557
1,start,"start[45,3]",45,3,70.599151
1,start,"start[45,4]",45,4,80.798446
1,start,"start[45,5]",45,5,92.083545
1,start,"start[47,1]",47,1,30.7
1,start,"start[47,2]",47,2,38.830795
1,start,"start[47,3]",47,3,46.324597
1,start,"start[47,4]",47,4,53.714205
1,start,"start[47,5]",47,5,62.453449
1,start,"start[48,1]",48,1,10.8
1,start,"start[48,2]",48,2,19.790891
1,start,"start[48,3]",48,3,27.993856
1,start,"start[48,4]",48,4,35.729403
1,start,"start[48,5]",48,5,44.440765
1,start,"start[62,1]",62,1,40.6
1,start,"start[62,2]",62,2,51.233257
1,start,"start[62,3]",62,3,61.105557
1,start,"start[62,4]",62,4,70.423518
1,start,"start[62,5]",62,5,80.798446
1,o,"o[21,1]",21,1,73.340407
1,o,"o[21,2]",21,2,85.08746
1,o,"o[21,3]",21,3,96.433776
1,o,"o[21,4]",21,4,108.68125
1,o,"o[21,5]",21,5,121.09851
1,o,"o[43,1]",43,1,28.400527
1,o,"o[43,2]",43,2,36.477705
1,o,"o[43,3]",43,3,44.288845
1,o,"o[43,4]",43,4,52.560253
1,o,"o[43,5]",43,5,62.453449
1,o,"o[45,1]",45,1,60.704074
1,o,"o[45,2]",45,2,70.599151
1,o,"o[45,3]",45,3,79.120829
1,o,"o[45,4]",45,4,90.949719
1,o,"o[45,5]",45,5,101.617505
1,o,"o[47,1]",47,1,38.830795
1,o,"o[47,2]",47,2,46.324597
1,o,"o[47,3]",47,3,53.714205
1,o,"o[47,4]",47,4,61.818544
1,o,"o[47,5]",47,5,70.537229
1,o,"o[48,1]",48,1,19.790891
1,o,"o[48,2]",48,2,27.993856
1,o,"o[48,3]",48,3,35.729403
1,o,"o[48,4]",48,4,44.440765
1,o,"o[48,5]",48,5,53.796689
1,o,"o[62,1]",62,1,51.233257
1,o,"o[62,2]",62,2,61.105557
1,o,"o[62,3]",62,3,70.423518
1,o,"o[62,4]",62,4,80.798446
1,o,"o[62,5]",62,5,92.083545
1,t,t[21],21,,121.69851
1,t,t[43],43,,67.853449
1,t,t[45],45,,102.017505
1,t,t[47],47,,72.837229
1,t,t[48],48,,55.196689
1,t,t[62],62,,95.683545
1,d,d[21],21,,0.0
1,d,d[43],43,,0.0
1,d,d[45],45,,0.0
1,d,d[47],47,,0.0
1,d,d[48],48,,0.0
1,d,d[62],62,,0.0
2,start,"start[13,1]",13,1,42.58077
2,start,"start[13,2]",13,2,49.910627
2,start,"start[13,3]",13,3,62.008133
2,start,"start[13,4]",13,4,71.96271
2,start,"start[17,1]",17,1,54.441588
2,start,"start[17,2]",17,2,63.583599
2,start,"start[17,3]",17,3,75.300957
2,start,"start[17,4]",17,4,85.304515
2,start,"start[18,1]",18,1,48.7507
2,start,"start[18,2]",18,2,55.499999
2,start,"start[18,3]",18,3,69.034262
2,start,"start[18,4]",18,4,78.689075
2,start,"start[28,1]",28,1,26.364355
2,start,"start[28,2]",28,2,35.465632
2,start,"start[28,3]",28,3,44.404556
2,start,"start[28,4]",28,4,54.357635
2,start,"start[32,1]",32,1,8.9
2,start,"start[32,2]",32,2,17.391963
2,start,"start[32,3]",32,3,24.975401
2,start,"start[32,4]",32,4,34.011973
2,start,"start[34,1]",34,1,71.630079
2,start,"start[34,2]",34,2,82.742949
2,start,"start[34,3]",34,3,93.801332
2,start,"start[34,4]",34,4,106.232288
2,start,"start[44,1]",44,1,35.465632
2,start,"start[44,2]",44,2,43.362832
2,start,"start[44,3]",44,3,54.357635
2,start,"start[44,4]",44,4,64.196076
2,start,"start[46,1]",46,1,17.391963
2,start,"start[46,2]",46,2,26.364355
2,start,"start[46,3]",46,3,34.592548
2,start,"start[46,4]",46,4,44.404556
2,start,"start[64,1]",64,1,63.583599
2,start,"start[64,2]",64,2,72.300912
2,start,"start[64,3]",64,3,85.215025
2,start,"start[64,4]",64,4,94.842787
2,o,"o[13,1]",13,1,48.7507
2,o,"o[13,2]",13,2,55.499999
2,o,"o[13,3]",13,3,69.034262
2,o,"o[13,4]",13,4,78.689075
2,o,"o[17,1]",17,1,63.583599
2,o,"o[17,2]",17,2,72.300912
2,o,"o[17,3]",17,3,85.215025
2,o,"o[17,4]",17,4,94.842787
2,o,"o[18,1]",18,1,54.441588
2,o,"o[18,2]",18,2,60.994132
2,o,"o[18,3]",18,3,75.300957
2,o,"o[18,4]",18,4,85.304515
2,o,"o[28,1]",28,1,35.465632
2,o,"o[28,2]",28,2,43.362832
2,o,"o[28,3]",28,3,54.357635
2,o,"o[28,4]",28,4,64.196076
2,o,"o[32,1]",32,1,17.391963
2,o,"o[32,2]",32,2,24.975401
2,o,"o[32,3]",32,3,34.011973
2,o,"o[32,4]",32,4,42.824051
2,o,"o[34,1]",34,1,82.742949
2,o,"o[34,2]",34,2,93.516429
2,o,"o[34,3]",34,3,106.232288
2,o,"o[34,4]",34,4,118.128099
2,o,"o[44,1]",44,1,42.58077
2,o,"o[44,2]",44,2,49.910627
2,o,"o[44,3]",44,3,62.008133
2,o,"o[44,4]",44,4,71.96271
2,o,"o[46,1]",46,1,26.364355
2,o,"o[46,2]",46,2,34.592548
2,o,"o[46,3]",46,3,44.404556
2,o,"o[46,4]",46,4,54.351753
2,o,"o[64,1]",64,1,71.630079
2,o,"o[64,2]",64,2,79.739795
2,o,"o[64,3]",64,3,93.801332
2,o,"o[64,4]",64,4,103.918988
