factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,1,1,1.3,6.317667,6.317667,24.982916,0.0
1,1,2,6.317667,11.955417,11.955417,24.982916,0.0
1,1,3,11.955417,17.399946,17.399946,24.982916,0.0
1,1,4,17.399946,23.182916,23.182916,24.982916,0.0
1,3,1,36.980196,42.536611,42.536611,64.418937,0.0
1,3,2,44.551848,50.655815,50.655815,64.418937,0.0
1,3,3,51.148125,57.021808,57.021808,64.418937,0.0
1,3,4,57.459017,63.518937,63.518937,64.418937,0.0
1,17,1,47.726325,55.031209,55.031209,81.88061,0.0
1,17,2,56.774021,65.13464,65.13464,81.88061,0.0
1,17,3,65.13464,72.446597,72.446597,81.88061,0.0
1,17,4,72.446597,80.18061,80.18061,81.88061,0.0
1,23,1,11.3,17.321652,17.321652,42.816898,0.0
1,23,2,17.321652,23.716712,23.716712,42.816898,0.0
1,23,3,23.716712,30.058123,30.058123,42.816898,0.0
1,23,4,30.058123,36.716898,36.716898,42.816898,0.0
1,24,1,42.536611,47.726325,47.726325,74.435913,0.0
1,24,2,50.655815,56.774021,56.774021,74.435913,0.0
1,24,3,57.021808,62.585699,62.585699,74.435913,0.0
1,24,4,63.518937,69.335913,69.335913,74.435913,0.0
1,25,1,18.7,24.56619,24.56619,48.829855,0.0
1,25,2,24.56619,31.272144,31.272144,48.829855,0.0
1,25,3,31.272144,38.110265,38.110265,48.829855,0.0
1,25,4,38.110265,44.629855,44.629855,48.829855,0.0
1,27,1,24.56619,31.036153,31.036153,52.143983,0.0
1,27,2,31.272144,38.181054,38.181054,52.143983,0.0
1,27,3,38.181054,44.591524,44.591524,52.143983,0.0
1,27,4,44.629855,51.243983,51.243983,52.143983,0.0
1,32,1,31.036153,36.980196,36.980196,60.859017,0.0
1,32,2,38.181054,44.551848,44.551848,60.859017,0.0
1,32,3,44.591524,51.148125,51.148125,60.859017,0.0
1,32,4,51.243983,57.459017,57.459017,60.859017,0.0
2,5,1,43.413092,50.034415,50.034415,71.430856,0.0
2,5,2,51.3727,57.30636,57.30636,71.430856,0.0
2,5,3,60.955241,67.530856,67.530856,71.430856,0.0
2,7,1,50.034415,57.682052,57.682052,78.961677,0.0
2,7,2,57.682052,65.203882,65.203882,78.961677,0.0
