record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0010001659393310547,0,"{""1"": [], ""2"": [], ""3"": []}"
validated,2,4510.241878144341,3445.4985972,9001.215670211592,0.9957279262182236,0.12800002098083496,17,"{""1"": [3, 5, 10, 11, 15], ""2"": [1, 4, 7, 13, 17, 18], ""3"": [6, 8, 14, 16, 19, 20]}"
validated,3,5080.436215749395,2960.7574764,8805.393144483905,0.7331962789311501,0.5710000991821289,17,"{""1"": [2, 3, 11, 15], ""2"": [1, 4, 5, 7, 12, 17, 18], ""3"": [6, 8, 10, 14, 19, 20]}"
validated,4,5492.278832916992,1963.8496776,8636.467341308045,0.5724743051184732,1.6510000228881836,16,"{""1"": [2, 3, 11], ""2"": [1, 4, 5, 7, 12, 17, 18], ""3"": [6, 8, 10, 14, 19, 20]}"
validated,5,5573.256255609227,1339.964727,8442.03497895571,0.5147401432437613,4.735000133514404,15,"{""1"": [2, 3, 11, 19], ""2"": [1, 4, 5, 6, 10, 12, 17], ""3"": [8, 16, 18, 20]}"
validated,6,5765.83080356406,1179.7408875,8442.03497895571,0.46414892607278635,5.379000186920166,14,"{""1"": [2, 3, 11, 15], ""2"": [1, 4, 6, 16, 17, 18], ""3"": [8, 10, 14, 19]}"
validated,7,6061.898668711842,1431.5630565000001,8405.08542811434,0.3865433732003354,5.616000175476074,16,"{""1"": [2, 3, 6, 10, 11], ""2"": [1, 4, 5, 9, 12, 13, 17], ""3"": [8, 16, 19, 20]}"
validated,8,6313.4632007089995,672.1106211,8263.543560382355,0.30887649102862635,7.192000150680542,15,"{""1"": [2, 3, 10, 11], ""2"": [4, 5, 6, 7, 13, 16, 17], ""3"": [8, 14, 19, 20]}"
validated,9,6367.659546692382,339.791496,7997.316475937181,0.2559271451771175,8.710000038146973,15,"{""1"": [2, 3, 10, 11], ""2"": [4, 5, 13, 16, 17, 18], ""3"": [6, 8, 12, 14, 19]}"
validated,10,6936.016813467431,240.7145994,7997.316475937181,0.15301284454920291,8.884000062942505,15,"{""1"": [2, 3, 11], ""2"": [1, 4, 5, 7, 12, 13, 17], ""3"": [6, 8, 10, 14, 19]}"
validated,11,7087.522558159383,83.3814441,7759.032045874516,0.09474530517607595,9.70900011062622,15,"{""1"": [2, 3, 11], ""2"": [4, 5, 7, 12, 13, 17, 18], ""3"": [6, 8, 10, 16, 19]}"
validated,12,7138.909919684587,191.5190781,7642.987867147176,0.07060993248740419,10.059000015258789,15,"{""1"": [2, 3, 5, 11], ""2"": [1, 4, 7, 12, 17, 18], ""3"": [6, 8, 10, 16, 19]}"
validated,13,7213.492423683024,191.5190781,7612.283727903873,0.05528408166224103,10.10700011253357,15,"{""1"": [2, 3, 5, 11], ""2"": [1, 4, 7, 12, 13, 17], ""3"": [6, 8, 10, 16, 19]}"
final_result,final,7213.492423683024,191.5190781,7213.492423683024,0.0,10.534000158309937,15,"{""1"": [2, 3, 5, 11], ""2"": [1, 4, 7, 12, 13, 17], ""3"": [6, 8, 10, 16, 19]}"
