factory,var_type,var_name,order,machine,value
1,start,"start[3,1]",3,1,36.099999999999966
1,start,"start[3,2]",3,2,46.90433321674938
1,start,"start[3,3]",3,3,56.67255471759103
1,start,"start[3,4]",3,4,67.59397747317624
1,start,"start[3,5]",3,5,77.45012465830753
1,start,"start[5,1]",5,1,51.89999999999999
1,start,"start[5,2]",5,2,66.46698132649864
1,start,"start[5,3]",5,3,80.46732090520493
1,start,"start[5,4]",5,4,96.66634141892698
1,start,"start[5,5]",5,5,111.8189813850827
1,start,"start[11,1]",11,1,20.099999999999966
1,start,"start[11,2]",11,2,29.98062298675282
1,start,"start[11,3]",11,3,39.1240054584938
1,start,"start[11,4]",11,4,48.76633845602558
1,start,"start[11,5]",11,5,57.89183203634454
1,start,"start[42,1]",42,1,2.8999999999999773
1,start,"start[42,2]",42,2,13.419074603102658
1,start,"start[42,3]",42,3,23.449353611477775
1,start,"start[42,4]",42,4,34.57391839735749
1,start,"start[42,5]",42,5,44.71991084354033
1,o,"o[3,1]",3,1,46.9043332167494
1,o,"o[3,2]",3,2,56.67255471759103
1,o,"o[3,3]",3,3,67.59397747317624
1,o,"o[3,4]",3,4,77.45012465830754
1,o,"o[3,5]",3,5,87.29109273964303
1,o,"o[5,1]",5,1,66.46698132649864
1,o,"o[5,2]",5,2,80.46732090520493
1,o,"o[5,3]",5,3,96.66634141892698
1,o,"o[5,4]",5,4,111.8189813850827
1,o,"o[5,5]",5,5,125.9575542014845
1,o,"o[11,1]",11,1,29.980622986752856
1,o,"o[11,2]",11,2,39.1240054584938
1,o,"o[11,3]",11,3,48.76633845602558
1,o,"o[11,4]",11,4,57.891832036344546
1,o,"o[11,5]",11,5,67.04025902669919
1,o,"o[42,1]",42,1,13.419074603102688
1,o,"o[42,2]",42,2,23.449353611477775
1,o,"o[42,3]",42,3,34.57391839735749
1,o,"o[42,4]",42,4,44.71991084354033
1,o,"o[42,5]",42,5,55.14266373031987
1,t,t[3],3,,89.69109273964304
1,t,t[5],5,,129.8575542014845
1,t,t[11],11,,68.84025902669919
1,t,t[42],42,,56.24266373031986
1,d,d[3],3,,0.0
