factory,var_type,var_name,order,machine,value
1,start,"start[2,1]",2,1,20.70208781167252
1,start,"start[2,2]",2,2,29.427069360891153
1,start,"start[2,3]",2,3,39.02617319392743
1,start,"start[2,4]",2,4,47.534676580311775
1,start,"start[2,5]",2,5,55.336965913862045
1,start,"start[6,1]",6,1,39.75096439428155
1,start,"start[6,2]",6,2,47.407079830293185
1,start,"start[6,3]",6,3,55.46846304081198
1,start,"start[6,4]",6,4,62.3618205030848
1,start,"start[6,5]",6,5,69.51813398803633
1,start,"start[8,1]",8,1,4.29999999999997
1,start,"start[8,2]",8,2,9.764075237917126
1,start,"start[8,3]",8,3,16.124026284908552
1,start,"start[8,4]",8,4,22.066068187898196
1,start,"start[8,5]",8,5,31.92019352105146
1,start,"start[14,1]",14,1,9.76407523791714
1,start,"start[14,2]",14,2,16.124026284908552
1,start,"start[14,3]",14,3,24.285448106131156
1,start,"start[14,4]",14,4,33.060876233655165
1,start,"start[14,5]",14,5,37.37288747769775
1,start,"start[20,1]",20,1,33.5
1,start,"start[20,2]",20,2,39.75096439428155
1,start,"start[20,3]",20,3,47.534676580311775
1,start,"start[20,4]",20,4,55.33696591386204
1,start,"start[20,5]",20,5,63.17138937343496
1,start,"start[22,1]",22,1,48.04307061511499
1,start,"start[22,2]",22,2,55.46846304081198
1,start,"start[22,3]",22,3,64.70344279624938
1,start,"start[22,4]",22,4,73.36731382263469
1,start,"start[22,5]",22,5,80.753268578404
1,start,"start[24,1]",24,1,14.183145119633181
1,start,"start[24,2]",24,2,21.824540985771264
1,start,"start[24,3]",24,3,29.427069360891153
1,start,"start[24,4]",24,4,37.37288747769776
1,start,"start[24,5]",24,5,43.30031649702869
1,o,"o[2,1]",2,1,29.177092001762006
1,o,"o[2,2]",2,2,39.02617319392743
1,o,"o[2,3]",2,3,47.534676580311775
1,o,"o[2,4]",2,4,55.336965913862045
1,o,"o[2,5]",2,5,63.17138937343497
1,o,"o[6,1]",6,1,45.93501590213
1,o,"o[6,2]",6,2,55.46846304081198
