record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0009999275207519531,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}"
validated,2,1402.9049038027147,838.7583086557729,16836.582142200146,11.001228377321157,0.9549999237060547,6,"{""1"": [], ""2"": [], ""3"": [2, 16, 20, 30, 38, 40], ""4"": [], ""5"": []}"
validated,3,2023.4940098281245,0.0,16836.582142200146,7.320549534826765,0.9609999656677246,5,"{""1"": [], ""2"": [], ""3"": [2, 16, 30, 38, 40], ""4"": [], ""5"": []}"
validated,4,2518.197091705896,0.0,16720.110519626214,5.639714808144564,1.180999994277954,6,"{""1"": [12], ""2"": [], ""3"": [2, 16, 30, 38, 40], ""4"": [], ""5"": []}"
validated,5,4426.444740019921,346.1239292747048,16613.03006250986,2.753131697840894,2.432999849319458,14,"{""1"": [12], ""2"": [5, 7, 17, 20, 24, 27, 49, 50], ""3"": [2, 16, 30, 38, 40], ""4"": [], ""5"": []}"
validated,6,4660.517517394677,0.0,16613.03006250986,2.564632039361345,2.444000005722046,13,"{""1"": [12], ""2"": [5, 7, 20, 24, 27, 49, 50], ""3"": [2, 16, 30, 38, 40], ""4"": [], ""5"": []}"
validated,7,6899.758682163153,1781.6076973565039,16577.826986983997,1.402667651238298,6.08899998664856,21,"{""1"": [12], ""2"": [5, 7, 20, 24, 26, 27, 43, 49, 50], ""3"": [2, 16, 18, 30, 38, 40, 44], ""4"": [32, 48], ""5"": [1, 25]}"
validated,8,9164.25430485377,5618.5444531126095,16449.51125003796,0.7949645113324292,24.93499994277954,33,"{""1"": [12, 14, 19, 34, 42, 47], ""2"": [6, 8, 20, 26, 35, 37, 43, 50], ""3"": [2, 9, 18, 21, 29, 36, 41, 44, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 13, 31, 38, 39, 46]}"
validated,9,10520.330992328725,3917.854019834666,16449.51125003796,0.5635925582600687,25.003999948501587,32,"{""1"": [12, 14, 19, 34, 42, 47], ""2"": [6, 8, 20, 26, 35, 37, 43, 50], ""3"": [2, 9, 18, 29, 36, 41, 44, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 13, 31, 38, 39, 46]}"
validated,10,10672.43882772162,4122.934516470933,16350.374925026374,0.5320186125177251,26.73799991607666,33,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [6, 8, 20, 26, 35, 37, 43, 50], ""3"": [2, 9, 18, 29, 36, 41, 44, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 13, 31, 38, 39, 46]}"
validated,11,11195.968023703717,3527.9359369495805,16277.252868282389,0.4538495317082677,40.789000034332275,33,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [6, 8, 26, 35, 37, 43, 50], ""3"": [2, 9, 18, 29, 33, 36, 41, 44, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 13, 31, 38, 39, 46]}"
validated,12,12164.137304643948,2515.0140976420744,16208.75979904792,0.3325038507136748,72.76600003242493,32,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [6, 8, 23, 26, 35, 37, 43, 50], ""3"": [2, 9, 18, 29, 33, 36, 41, 44, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 31, 38, 39]}"
validated,13,12253.629610290736,2378.4232843859036,16050.771744121788,0.3098789709330017,402.55999994277954,32,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [8, 13, 23, 26, 35, 37, 39, 43, 50], ""3"": [2, 9, 18, 29, 33, 36, 41, 44, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 31, 38]}"
validated,14,12417.277181485657,2266.6129576315825,16050.771744121788,0.2926160469425395,519.396999835968,31,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [8, 26, 27, 35, 37, 39, 43, 50], ""3"": [2, 9, 18, 29, 33, 36, 38, 41, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 25, 31]}"
validated,15,12437.714923968819,1999.5542164947688,15999.495019178928,0.286369330458457,577.460000038147,32,"{""1"": [4, 12, 14, 34, 42, 47], ""2"": [8, 11, 26, 27, 35, 37, 39, 43], ""3"": [2, 9, 23, 29, 33, 36, 38, 41, 49, 50], ""4"": [28, 32, 48], ""5"": [1, 5, 25, 31, 46]}"
validated,16,12470.105196501192,2113.3884006279586,15930.200431183252,0.2774712145694551,946.0909998416901,33,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [13, 24, 26, 27, 37, 39, 43, 50], ""3"": [2, 9, 21, 23, 29, 33, 36, 38, 41, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 20, 25, 31]}"
final_result,final,12470.105196501192,2113.3884006279586,15884.462209949672,0.27380338494710255,1801.2709999084473,33,"{""1"": [4, 11, 12, 14, 34, 42, 47], ""2"": [13, 24, 26, 27, 37, 39, 43, 50], ""3"": [2, 9, 21, 23, 29, 33, 36, 38, 41, 49], ""4"": [28, 32, 48], ""5"": [1, 5, 20, 25, 31]}"
