record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0,0,"{""1"": [], ""2"": [], ""3"": []}"
validated,2,2278.735737779146,4414.025812833294,13089.675776947695,4.744271070986442,0.012000083923339844,13,"{""1"": [2, 3, 5, 11, 12], ""2"": [1, 4, 7, 8, 13], ""3"": [6, 9, 14]}"
validated,3,3261.39536276285,3752.918394737292,7048.410922786958,1.1611642069718238,0.02200007438659668,13,"{""1"": [2, 3, 5, 11, 12], ""2"": [1, 4, 7, 10, 15], ""3"": [6, 8, 9]}"
validated,4,4353.975992744847,2705.55984357568,7048.410922786958,0.6188446915031052,0.04399991035461426,13,"{""1"": [2, 5, 11, 12], ""2"": [1, 4, 7, 10, 15], ""3"": [3, 6, 8, 9]}"
validated,5,4624.4625376877575,1557.3122088588611,6513.034082593871,0.40838725138649384,0.1359999179840088,11,"{""1"": [2, 5, 12], ""2"": [1, 4, 7, 10], ""3"": [3, 6, 8, 11]}"
validated,6,4734.389197425991,1495.933772273218,6418.5046336490595,0.35571968547467403,0.1659998893737793,11,"{""1"": [2, 3, 11, 12], ""2"": [1, 4, 7, 10], ""3"": [6, 8, 9]}"
validated,7,5049.822089975388,1225.722958544208,6418.5046336490595,0.2710357947838797,0.17199993133544922,11,"{""1"": [2, 11, 12], ""2"": [1, 4, 7, 10], ""3"": [3, 6, 8, 9]}"
validated,8,5366.583101042229,650.2311215794955,6076.468357658197,0.13227881563561433,0.806999921798706,11,"{""1"": [2, 5, 12], ""2"": [1, 4, 7, 10], ""3"": [3, 8, 9, 13]}"
validated,9,5627.1134164961295,346.68065059093817,6009.487295718016,0.06795204768770799,0.875,10,"{""1"": [2, 5, 12], ""2"": [1, 4, 7, 10], ""3"": [3, 8, 9]}"
final_result,final,5627.1134164961295,346.68065059093817,5627.1134164961295,0.0,0.8949999809265137,10,"{""1"": [2, 5, 12], ""2"": [1, 4, 7, 10], ""3"": [3, 8, 9]}"
