factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,3,1,22.717787521450568,29.626930285629875,29.626930285629875,68.87750052059769,0.0
1,3,2,31.642362871507046,39.54640122851849,39.54640122851849,68.87750052059769,0.0
1,3,3,40.98403957699045,49.22874551709017,49.22874551709017,68.87750052059769,0.0
1,3,4,49.24049900878459,56.48648384849919,56.48648384849919,68.87750052059769,0.0
1,3,5,56.48648384849915,65.1775005205977,65.1775005205977,68.87750052059769,0.0
1,12,1,14.699999999999987,22.71778752145056,22.71778752145056,82.47139295434678,0.0
1,12,2,22.71778752145056,31.64236287150704,31.64236287150704,82.47139295434678,0.0
1,12,3,31.642362871507018,40.98403957699044,40.98403957699044,82.47139295434678,0.0
1,12,4,40.98403957699044,49.240499008784596,49.240499008784596,82.47139295434678,0.0
1,12,5,65.17750052059765,75.07139295434678,75.07139295434678,82.47139295434678,0.0
2,1,1,26.702019509096054,34.75594182295572,34.75594182295572,66.4,0.0
2,1,2,35.07918496448045,42.65122371860748,42.65122371860748,66.4,0.0
2,1,3,47.40906646146813,55.31331157557193,55.31331157557193,66.4,0.0
2,1,4,55.90464841902693,64.10000000000001,64.10000000000001,66.4,0.0
2,6,1,3.599999999999966,11.731638386040938,11.731638386040938,37.61077809532718,0.0
2,6,2,11.731638386040938,19.755730935079757,19.755730935079757,37.61077809532718,0.0
2,6,3,19.755730935079757,27.351056265516384,27.351056265516384,37.61077809532718,0.0
2,6,4,27.351056265516384,35.010778095327176,35.010778095327176,37.61077809532718,0.0
2,8,1,34.75594182295571,48.836039697107594,48.836039697107594,94.0247672515311,1.6247672515310967
2,8,2,48.836039697107594,63.23233978493553,63.23233978493553,94.0247672515311,1.6247672515310967
2,8,3,63.23233978493553,76.80059877427851,76.80059877427851,94.0247672515311,1.6247672515310967
2,8,4,76.80059877427851,91.4247672515311,91.4247672515311,94.0247672515311,1.6247672515310967
2,9,1,17.99936161990693,26.702019509096058,26.702019509096058,57.40464841902693,0.0
2,9,2,26.702019509096058,35.07918496448045,35.07918496448045,57.40464841902693,0.0
2,9,3,38.66644252585637,47.40906646146813,47.40906646146813,57.40464841902693,0.0
2,9,4,47.409066461468136,55.90464841902693,55.90464841902693,57.40464841902693,0.0
2,15,1,11.731638386040942,17.99936161990693,17.99936161990693,49.309066461468134,0.0
2,15,2,20.12814065238622,26.702019509096058,26.702019509096058,49.309066461468134,0.0
2,15,3,31.943142754777085,38.66644252585637,38.66644252585637,49.309066461468134,0.0
2,15,4,40.7327125063695,47.409066461468136,47.409066461468136,49.309066461468134,0.0
3,2,1,1.8999999999999773,11.984534797364109,11.984534797364109,60.38310447467132,0.0
3,2,2,11.984534797364091,23.224439627807484,23.224439627807484,60.38310447467132,0.0
3,2,3,23.224439627807484,33.58122605460635,33.58122605460635,60.38310447467132,0.0
3,2,4,33.58122605460635,44.785668247467584,44.785668247467584,60.38310447467132,0.0
3,2,5,45.39224643993382,56.683104474671325,56.683104474671325,60.38310447467132,0.0
3,7,1,21.916507678570767,31.08358742779638,31.08358742779638,81.44487309506637,0.0
3,7,2,31.681970451683455,42.73997100042746,42.73997100042746,81.44487309506637,0.0
3,7,3,45.11590583456211,54.617835108832814,54.617835108832814,81.44487309506637,0.0
3,7,4,54.617835108832814,64.95101067052586,64.95101067052586,81.44487309506637,0.0
3,7,5,64.95101067052586,76.34487309506638,76.34487309506638,81.44487309506637,0.0
3,10,1,32.60359464497609,40.80986112976314,40.80986112976314,87.10000000000001,0.0
3,10,2,42.73997100042745,51.43209115572836,51.43209115572836,87.10000000000001,0.0
3,10,3,57.9977737578042,66.16073506566552,66.16073506566552,87.10000000000001,0.0
3,10,4,67.67963642436669,76.34487309506639,76.34487309506639,87.10000000000001,0.0
3,10,5,76.34487309506639,85.30000000000001,85.30000000000001,87.10000000000001,0.0
3,14,1,14.5,21.916507678570767,21.916507678570767,71.25101067052586,0.0
3,14,2,23.224439627807484,31.681970451683455,31.681970451683455,71.25101067052586,0.0
3,14,3,37.68118681988068,45.11590583456211,45.11590583456211,71.25101067052586,0.0
3,14,4,46.32757072789199,54.61783510883281,54.61783510883281,71.25101067052586,0.0
3,14,5,56.6831044746713,64.95101067052586,64.95101067052586,71.25101067052586,0.0
