factory,var_type,var_name,order,machine,value
1,start,"start[8,1]",8,1,5.0
1,start,"start[8,2]",8,2,15.946689159948278
1,start,"start[8,3]",8,3,28.699771650236187
1,start,"start[8,4]",8,4,41.28530662559787
1,start,"start[12,1]",12,1,27.518267001213612
1,start,"start[12,2]",12,2,43.76390695379138
1,start,"start[12,3]",12,3,60.617537357262506
1,start,"start[12,4]",12,4,76.37433817688435
1,start,"start[23,1]",23,1,15.94668915994809
1,start,"start[23,2]",23,2,29.32082748848032
1,start,"start[23,3]",23,3,43.76390695379137
1,start,"start[23,4]",23,4,57.2288864044183
1,o,"o[8,1]",8,1,15.94668915994829
1,o,"o[8,2]",8,2,28.699771650236208
1,o,"o[8,3]",8,3,41.28530662559787
1,o,"o[8,4]",8,4,53.1715113251816
1,o,"o[12,1]",12,1,41.66323526983639
1,o,"o[12,2]",12,2,60.617537357262506
1,o,"o[12,3]",12,3,76.37433817688435
1,o,"o[12,4]",12,4,92.80000000000001
1,o,"o[23,1]",23,1,27.518267001213616
1,o,"o[23,2]",23,2,43.76390695379137
1,o,"o[23,3]",23,3,57.2288864044183
1,o,"o[23,4]",23,4,70.19808391646632
1,t,t[8],8,,58.2715113251816
1,t,t[12],12,,98.4
1,t,t[23],23,,76.09808391646632
1,d,d[8],8,,0.0
1,d,d[12],12,,0.0
1,d,d[23],23,,0.0
2,start,"start[5,1]",5,1,37.87252190319549
2,start,"start[5,2]",5,2,51.44673204126885
2,start,"start[5,3]",5,3,64.91898897024616
2,start,"start[7,1]",7,1,18.158280961688064
2,start,"start[7,2]",7,2,31.43979471989674
2,start,"start[7,3]",7,3,41.995247755512096
2,start,"start[24,1]",24,1,5.000000000000002
2,start,"start[24,2]",24,2,18.15828096168815
2,start,"start[24,3]",24,3,31.439794719896796
2,start,"start[25,1]",25,1,28.00065982091444
2,start,"start[25,2]",25,2,41.419364323236564
2,start,"start[25,3]",25,3,51.44673204126885
2,o,"o[5,1]",5,1,50.99984565122992
2,o,"o[5,2]",5,2,64.91898897024616
2,o,"o[5,3]",5,3,75.10105080492232
2,o,"o[7,1]",7,1,28.000659820914436
2,o,"o[7,2]",7,2,41.419364323236564
2,o,"o[7,3]",7,3,49.994206705817604
2,o,"o[24,1]",24,1,18.15828096168815
2,o,"o[24,2]",24,2,31.439794719896796
2,o,"o[24,3]",24,3,41.995247755512224
2,o,"o[25,1]",25,1,37.87252190319549
2,o,"o[25,2]",25,2,51.44673204126885
2,o,"o[25,3]",25,3,59.705920748845074
2,t,t[5],5,,81.80105080492233
2,t,t[7],7,,55.8942067058176
2,t,t[24],24,,50.495247755512224
2,t,t[25],25,,67.10592074884508
2,d,d[5],5,,1.3010508049223262
2,d,d[7],7,,0.0
2,d,d[24],24,,0.0
2,d,d[25],25,,0.0
3,start,"start[1,1]",1,1,13.587947695378734
3,start,"start[1,2]",1,2,25.390595619440475
3,start,"start[1,3]",1,3,37.72679854768445
3,start,"start[10,1]",10,1,2.5
3,start,"start[10,2]",10,2,13.587947695378716
3,start,"start[10,3]",10,3,25.390595619440475
3,start,"start[16,1]",16,1,20.193937247015363
3,start,"start[16,2]",16,2,32.873507688208434
3,start,"start[16,3]",16,3,44.81217870711435
3,start,"start[19,1]",19,1,42.742229264603125
3,start,"start[19,2]",19,2,54.77585333383328
3,start,"start[19,3]",19,3,67.65397291626404
3,start,"start[21,1]",21,1,32.231482180279215
3,start,"start[21,2]",21,2,43.48659577075013
3,start,"start[21,3]",21,3,55.87498416092553
3,o,"o[1,1]",1,1,20.19393724701536
3,o,"o[1,2]",1,2,32.873507688208434
3,o,"o[1,3]",1,3,44.81217870711436
3,o,"o[10,1]",10,1,13.587947695378734
3,o,"o[10,2]",10,2,25.39059561944048
3,o,"o[10,3]",10,3,37.36130777581089
3,o,"o[16,1]",16,1,29.198570395612467
3,o,"o[16,2]",16,2,42.17747987449178
3,o,"o[16,3]",16,3,54.866732689212
3,o,"o[19,1]",19,1,54.775853333833275
3,o,"o[19,2]",19,2,67.65397291626404
3,o,"o[19,3]",19,3,80.2
3,o,"o[21,1]",21,1,42.742229264603125
3,o,"o[21,2]",21,2,54.77585333383328
3,o,"o[21,3]",21,3,67.65397291626404
3,t,t[1],1,,46.61217870711437
3,t,t[10],10,,38.76130777581089
3,t,t[16],16,,57.366732689212
3,t,t[19],19,,81.5
3,t,t[21],21,,72.65397291626404
3,d,d[1],1,,0.0
3,d,d[10],10,,0.0
3,d,d[16],16,,0.0
3,d,d[19],19,,0.0
3,d,d[21],21,,0.0
