
Gurobi 10.0.1 (win64) logging started Sat May  2 18:25:03 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_55j_seed1\log\exp_7f_55j_seed1_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 146431 rows, 73150 columns and 722192 nonzeros
Model fingerprint: 0x51efa01c
Variable types: 1430 continuous, 71720 integer (71720 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [3e+01, 2e+03]
  Bounds range     [1e+00, 1e+02]
  RHS range        [1e+00, 4e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 91735 rows and 45747 columns
Presolve time: 0.62s
Presolved: 54696 rows, 27403 columns, 267858 nonzeros
Variable types: 905 continuous, 26498 integer (26498 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 54696 rows, 27403 columns, 267858 nonzeros

Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 2.474778e+04, 2777 iterations, 0.21 seconds (0.28 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 24747.7849    0  524   -0.00000 24747.7849      -     -    1s
H    0     0                    12272.348518 24747.7849   102%     -    1s
H    0     0                    13151.850900 24747.7849  88.2%     -    1s
     0     0 24747.7849    0  531 13151.8509 24747.7849  88.2%     -    1s
H    0     0                    13327.447028 24747.7849  85.7%     -    1s
H    0     0                    14385.291194 24747.7849  72.0%     -    3s
     0     0 24747.7849    0  500 14385.2912 24747.7849  72.0%     -    3s
H    0     0                    15226.095434 24747.7849  62.5%     -    3s
     0     0 24743.9581    0  519 15226.0954 24743.9581  62.5%     -    4s
     0     0 24743.9581    0  548 15226.0954 24743.9581  62.5%     -    4s
     0     0 24743.9581    0  532 15226.0954 24743.9581  62.5%     -    6s
     0     0 24743.9581    0  576 15226.0954 24743.9581  62.5%     -    6s
     0     0 24743.9581    0  578 15226.0954 24743.9581  62.5%     -    6s
     0     0 24743.9581    0  567 15226.0954 24743.9581  62.5%     -    6s
     0     0 24743.9581    0  526 15226.0954 24743.9581  62.5%     -    6s
     0     0 24743.9581    0  523 15226.0954 24743.9581  62.5%     -    6s
     0     0 24735.9457    0  513 15226.0954 24735.9457  62.5%     -    7s
     0     0 24733.2750    0  582 15226.0954 24733.2750  62.4%     -    7s
     0     0 24732.5046    0  567 15226.0954 24732.5046  62.4%     -    7s
     0     0 24732.3105    0  526 15226.0954 24732.3105  62.4%     -    8s
     0     0 24732.3105    0  529 15226.0954 24732.3105  62.4%     -    8s
     0     0 24729.1458    0  576 15226.0954 24729.1458  62.4%     -    8s
     0     0 24728.4896    0  595 15226.0954 24728.4896  62.4%     -    8s
     0     0 24727.5436    0  605 15226.0954 24727.5436  62.4%     -    8s
     0     0 24727.1268    0  591 15226.0954 24727.1268  62.4%     -    9s
     0     0 24727.0913    0  590 15226.0954 24727.0913  62.4%     -    9s
     0     0 24727.0913    0  567 15226.0954 24727.0913  62.4%     -    9s
     0     0 24726.0366    0  552 15226.0954 24726.0366  62.4%     -    9s
     0     0 24725.7744    0  603 15226.0954 24725.7744  62.4%     -   10s
     0     0 24725.7605    0  592 15226.0954 24725.7605  62.4%     -   10s
     0     0 24725.7292    0  563 15226.0954 24725.7292  62.4%     -   10s
     0     0 24725.7292    0  532 15226.0954 24725.7292  62.4%     -   10s
     0     0 24722.7684    0  584 15226.0954 24722.7684  62.4%     -   10s
     0     0 24722.3081    0  535 15226.0954 24722.3081  62.4%     -   11s
     0     0 24722.2100    0  559 15226.0954 24722.2100  62.4%     -   11s
     0     0 24721.8968    0  560 15226.0954 24721.8968  62.4%     -   11s
     0     0 24721.8907    0  524 15226.0954 24721.8907  62.4%     -   11s
     0     0 24721.7940    0  531 15226.0954 24721.7940  62.4%     -   11s
     0     0 24721.7938    0  536 15226.0954 24721.7938  62.4%     -   11s
     0     0 24715.2913    0  604 15226.0954 24715.2913  62.3%     -   12s
     0     0 24714.9589    0  643 15226.0954 24714.9589  62.3%     -   12s
     0     0 24714.3738    0  572 15226.0954 24714.3738  62.3%     -   12s
     0     0 24714.2474    0  551 15226.0954 24714.2474  62.3%     -   12s
     0     0 24714.2138    0  593 15226.0954 24714.2138  62.3%     -   12s
     0     0 24714.1597    0  602 15226.0954 24714.1597  62.3%     -   12s
     0     0 24714.0662    0  576 15226.0954 24714.0662  62.3%     -   12s
     0     0 24713.8514    0  593 15226.0954 24713.8514  62.3%     -   12s
     0     0 24712.9809    0  562 15226.0954 24712.9809  62.3%     -   13s
     0     0 24712.7654    0  589 15226.0954 24712.7654  62.3%     -   13s
     0     0 24712.6362    0  604 15226.0954 24712.6362  62.3%     -   13s
     0     0 24712.6362    0  585 15226.0954 24712.6362  62.3%     -   13s
