
Gurobi 10.0.1 (win64) logging started Sun Apr 26 00:25:57 2026

Set parameter LogFile to value "D:\Project_Code\Paper\DP_LBBD_1\DP_lbbd\Algorithm\Results\mip_v1\large\exp_7f_65j_seed2\log\exp_7f_65j_seed2_gurobi.log"
Set parameter LogToConsole to value 0
Gurobi Optimizer version 10.0.1 build v10.0.1rc0 (win64)

CPU model: Intel(R) Core(TM) Ultra 7 265KF, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Optimize a model with 238083 rows, 118950 columns and 1177256 nonzeros
Model fingerprint: 0xe32bb9ed
Variable types: 1950 continuous, 117000 integer (117000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [3e+01, 4e+03]
  Bounds range     [1e+00, 2e+02]
  RHS range        [1e+00, 6e+02]
Found heuristic solution: objective -0.0000000
Presolve removed 142657 rows and 71172 columns
Presolve time: 1.85s
Presolved: 95426 rows, 47778 columns, 469526 nonzeros
Variable types: 1255 continuous, 46523 integer (46523 binary)

Deterministic concurrent LP optimizer: primal and dual simplex (primal and dual model)
Showing first log only...

Root relaxation presolved: 95426 rows, 47778 columns, 469526 nonzeros


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -0.0000000e+00   0.000000e+00   3.869096e+03     10s
Concurrent spin time: 0.00s

Solved with dual simplex (primal model)

Root relaxation: objective 3.044150e+04, 4658 iterations, 0.34 seconds (0.43 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 30441.4983    0  560   -0.00000 30441.4983      -     -   11s
H    0     0                    13018.558189 30441.4983   134%     -   11s
     0     0 30284.3024    0  450 13018.5582 30284.3024   133%     -   11s
H    0     0                    15617.568753 30284.3024  93.9%     -   12s
H    0     0                    19092.907958 30284.3024  58.6%     -   14s
     0     0 30284.3024    0  468 19092.9080 30284.3024  58.6%     -   14s
     0     0 30284.2940    0  437 19092.9080 30284.2940  58.6%     -   14s
H    0     0                    20589.590573 30284.2940  47.1%     -   19s
     0     0 30284.2940    0  480 20589.5906 30284.2940  47.1%     -   20s
     0     0 30280.7668    0  447 20589.5906 30280.7668  47.1%     -   20s
     0     0 30280.7646    0  436 20589.5906 30280.7646  47.1%     -   21s
     0     0 30269.5640    0  440 20589.5906 30269.5640  47.0%     -   21s
     0     0 30269.5640    0  424 20589.5906 30269.5640  47.0%     -   21s
     0     0 30269.5640    0  436 20589.5906 30269.5640  47.0%     -   22s
     0     0 30269.5640    0  484 20589.5906 30269.5640  47.0%     -   22s
     0     0 30269.5640    0  359 20589.5906 30269.5640  47.0%     -   23s
     0     0 30269.5640    0  414 20589.5906 30269.5640  47.0%     -   24s
     0     0 30269.5640    0  378 20589.5906 30269.5640  47.0%     -   25s
     0     0 30269.3721    0  371 20589.5906 30269.3721  47.0%     -   25s
     0     0 30269.3437    0  417 20589.5906 30269.3437  47.0%     -   25s
     0     0 30269.2312    0  391 20589.5906 30269.2312  47.0%     -   25s
     0     0 30269.2211    0  399 20589.5906 30269.2211  47.0%     -   25s
     0     0 30265.5250    0  357 20589.5906 30265.5250  47.0%     -   26s
     0     0 30265.5250    0  368 20589.5906 30265.5250  47.0%     -   27s
     0     0 30263.9991    0  412 20589.5906 30263.9991  47.0%     -   27s
H    0     0                    21097.363051 30263.9991  43.4%     -   29s
     0     0 30263.3490    0  456 21097.3631 30263.3490  43.4%     -   30s
     0     0 30263.0781    0  405 21097.3631 30263.0781  43.4%     -   30s
     0     0 30263.0781    0  418 21097.3631 30263.0781  43.4%     -   30s
     0     0 30263.0781    0  454 21097.3631 30263.0781  43.4%     -   31s
     0     0 30263.0781    0  416 21097.3631 30263.0781  43.4%     -   31s
     0     0 30261.8021    0  465 21097.3631 30261.8021  43.4%     -   31s
     0     0 30260.9476    0  460 21097.3631 30260.9476  43.4%     -   31s
     0     0 30260.9476    0  432 21097.3631 30260.9476  43.4%     -   32s
     0     0 30258.0701    0  407 21097.3631 30258.0701  43.4%     -   32s
     0     0 30255.1830    0  401 21097.3631 30255.1830  43.4%     -   32s
     0     0 30255.0355    0  415 21097.3631 30255.0355  43.4%     -   33s
     0     0 30255.0043    0  442 21097.3631 30255.0043  43.4%     -   33s
     0     0 30254.9463    0  438 21097.3631 30254.9463  43.4%     -   33s
     0     0 30254.9463    0  451 21097.3631 30254.9463  43.4%     -   33s
     0     0 30253.9248    0  424 21097.3631 30253.9248  43.4%     -   34s
     0     0 30253.6531    0  435 21097.3631 30253.6531  43.4%     -   34s
     0     0 30253.6250    0  383 21097.3631 30253.6250  43.4%     -   34s
     0     0 30253.6250    0  396 21097.3631 30253.6250  43.4%     -   34s
     0     0 30253.5726    0  457 21097.3631 30253.5726  43.4%     -   35s
     0     0 30252.6252    0  444 21097.3631 30252.6252  43.4%     -   35s
     0     0 30252.6252    0  467 21097.3631 30252.6252  43.4%     -   35s
     0     0 30252.6252    0  441 21097.3631 30252.6252  43.4%     -   36s
     0     0 30250.6038    0  471 21097.3631 30250.6038  43.4%     -   36s
