factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,3,1,23.657108,31.324807,31.324807,64.138781,0.0
1,3,2,31.324807,38.309986,38.309986,64.138781,0.0
1,3,3,38.309986,45.135893,45.135893,64.138781,0.0
1,3,4,45.135893,52.645916,52.645916,64.138781,0.0
1,3,5,52.645916,60.138781,60.138781,64.138781,0.0
1,18,1,31.324807,44.291969,44.291969,93.293526,0.0
1,18,2,44.291969,55.821835,55.821835,93.293526,0.0
1,18,3,55.821835,67.625786,67.625786,93.293526,0.0
1,18,4,67.625786,79.64685,79.64685,93.293526,0.0
1,18,5,79.64685,91.993526,91.993526,93.293526,0.0
1,27,1,54.356242,68.396489,68.396489,129.103254,0.0
1,27,2,68.396489,82.758752,82.758752,129.103254,0.0
1,27,3,82.758752,96.042313,96.042313,129.103254,0.0
1,27,4,96.042313,110.556315,110.556315,129.103254,0.0
1,27,5,110.556315,125.503254,125.503254,129.103254,0.0
1,44,1,16.4,23.657108,23.657108,54.753712,0.0
1,44,2,23.657108,30.527215,30.527215,54.753712,0.0
1,44,3,30.527215,37.562844,37.562844,54.753712,0.0
1,44,4,37.562844,44.702933,44.702933,54.753712,0.0
1,44,5,44.702933,52.353712,52.353712,54.753712,0.0
1,54,1,44.291969,54.356242,54.356242,104.763393,0.0
1,54,2,55.821835,65.071101,65.071101,104.763393,0.0
1,54,3,67.625786,76.605112,76.605112,104.763393,0.0
1,54,4,79.64685,88.843224,88.843224,104.763393,0.0
1,54,5,91.993526,101.963393,101.963393,104.763393,0.0
2,1,1,65.639214,77.101198,77.101198,101.553387,0.053387
2,1,2,77.101198,88.563822,88.563822,101.553387,0.053387
2,1,3,88.563822,98.053387,98.053387,101.553387,0.053387
2,4,1,57.598006,65.639214,65.639214,91.30653,0.0
2,4,2,65.639214,73.72425,73.72425,91.30653,0.0
2,4,3,77.866235,85.00653,85.00653,91.30653,0.0
2,5,1,50.954743,57.598006,57.598006,81.066235,0.0
2,5,2,58.930955,65.40007,65.40007,81.066235,0.0
2,5,3,72.245646,77.866235,77.866235,81.066235,0.0
2,7,1,23.087599,29.445039,29.445039,51.334977,0.0
2,7,2,36.278645,42.601006,42.601006,51.334977,0.0
2,7,3,42.601006,47.934977,47.934977,51.334977,0.0
2,13,1,34.5,43.478176,43.478176,76.245646,0.0
2,13,2,43.478176,52.03941,52.03941,76.245646,0.0
2,13,3,65.097612,72.245646,72.245646,76.245646,0.0
2,32,1,43.478176,50.954743,50.954743,66.497612,0.0
2,32,2,52.03941,58.930955,58.930955,66.497612,0.0
