record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.005000114440917969,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": [], ""6"": [], ""7"": []}"
validated,2,20098.764115060094,610.6814241000001,64694.00782397742,2.218805268504142,0.3580000400543213,49,"{""1"": [1, 3, 4, 14, 19, 29, 31, 35], ""2"": [2, 6, 18, 27, 37, 40, 44], ""3"": [7, 8, 17, 22, 32, 48, 53], ""4"": [12, 20, 28, 30, 41, 42], ""5"": [9, 13, 24, 26, 39, 43, 50], ""6"": [10, 11, 15, 16, 23, 25, 33, 34, 38], ""7"": [5, 36, 45, 46, 54]}"
validated,3,23597.167234261633,1285.2936980999998,26618.80443587975,0.12805084490103052,0.5380001068115234,53,"{""1"": [1, 15, 16, 19, 21, 29, 50, 54], ""2"": [5, 6, 17, 18, 27, 31, 33, 37, 49], ""3"": [2, 4, 7, 22, 24, 48, 55], ""4"": [14, 20, 30, 38, 40, 41, 42, 52], ""5"": [3, 8, 9, 12, 13, 26, 43], ""6"": [10, 11, 23, 25, 32, 34, 39, 44, 47, 51], ""7"": [35, 36, 45, 46]}"
validated,4,24232.68807328016,2081.1096648000002,26618.80443587975,0.09846684591424296,0.6800000667572021,54,"{""1"": [1, 15, 16, 19, 21, 29, 50, 52, 54], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 7, 22, 24, 36, 48, 55], ""4"": [14, 20, 30, 33, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43], ""6"": [10, 11, 23, 25, 28, 32, 34, 39, 44, 47, 51], ""7"": [35, 45, 46]}"
validated,5,24496.67380771199,2022.8583855,26618.80443587975,0.0866293377143991,0.9460000991821289,54,"{""1"": [1, 15, 16, 19, 21, 29, 50, 52, 54], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 7, 22, 24, 36, 48, 55], ""4"": [14, 20, 30, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43], ""6"": [10, 11, 23, 25, 28, 32, 34, 39, 44, 47, 51], ""7"": [33, 35, 45, 46]}"
validated,6,24620.308692552528,1868.0145249,26266.049908623878,0.06684486521361836,5.633000135421753,54,"{""1"": [1, 15, 16, 19, 21, 29, 50, 52, 54], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 7, 22, 24, 36, 48, 55], ""4"": [14, 20, 30, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43], ""6"": [11, 23, 25, 28, 32, 34, 39, 44, 47, 51], ""7"": [10, 33, 35, 45, 46]}"
validated,7,24866.38359837222,1394.0115021,26191.922440632727,0.053306458376491776,13.370000123977661,53,"{""1"": [1, 15, 16, 19, 21, 29, 50, 52], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 7, 22, 24, 36, 54, 55], ""4"": [14, 20, 30, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43, 51], ""6"": [11, 23, 25, 28, 32, 34, 39, 44, 47], ""7"": [10, 33, 35, 45, 46]}"
validated,8,25067.20579191113,447.1463031,26172.103570457242,0.04407742082297224,16.38700008392334,53,"{""1"": [1, 15, 19, 21, 22, 29, 47, 50, 52], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 7, 24, 36, 54, 55], ""4"": [14, 20, 30, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43, 51], ""6"": [11, 16, 23, 25, 28, 32, 34, 39, 44], ""7"": [10, 33, 35, 45, 46]}"
validated,9,25151.37975695677,820.0514702999999,26169.98301637247,0.04049890182004663,16.55900001525879,52,"{""1"": [1, 15, 16, 19, 21, 29, 50, 52], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 22, 24, 36, 54, 55], ""4"": [14, 20, 30, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43, 51], ""6"": [11, 23, 25, 28, 32, 34, 39, 44, 47], ""7"": [10, 33, 35, 45, 46]}"
validated,10,25380.3248178933,714.704514,26169.98301637247,0.031113006005441497,23.55400013923645,53,"{""1"": [1, 15, 16, 19, 21, 29, 50, 52, 54], ""2"": [5, 6, 17, 18, 27, 31, 37, 49], ""3"": [2, 4, 7, 22, 24, 36, 55], ""4"": [14, 20, 30, 38, 40, 41, 42], ""5"": [3, 8, 9, 12, 13, 26, 43, 51], ""6"": [11, 23, 25, 28, 32, 34, 39, 44, 47], ""7"": [10, 33, 35, 45, 46]}"
