factory,var_type,var_name,order,machine,value
1,start,"start[43,1]",43,1,44.3
1,start,"start[43,2]",43,2,53.49941
1,start,"start[43,3]",43,3,62.256796
1,start,"start[43,4]",43,4,71.483429
1,start,"start[43,5]",43,5,79.83591
1,o,"o[43,1]",43,1,53.49941
1,o,"o[43,2]",43,2,62.256796
1,o,"o[43,3]",43,3,71.483429
1,o,"o[43,4]",43,4,79.83591
1,o,"o[43,5]",43,5,87.995073
1,t,t[43],43,,89.795073
1,d,d[43],43,,0.0
2,start,"start[2,1]",2,1,54.946777
2,start,"start[2,2]",2,2,63.865278
2,start,"start[2,3]",2,3,72.847512
2,start,"start[22,1]",22,1,82.37567
2,start,"start[22,2]",22,2,93.219373
2,start,"start[22,3]",22,3,103.969534
2,start,"start[23,1]",23,1,35.147479
2,start,"start[23,2]",23,2,42.066191
2,start,"start[23,3]",23,3,49.931375
2,start,"start[26,1]",26,1,5.4
2,start,"start[26,2]",26,2,16.098683
2,start,"start[26,3]",26,3,27.296169
2,start,"start[34,1]",34,1,46.826202
2,start,"start[34,2]",34,2,54.946777
2,start,"start[34,3]",34,3,63.865278
2,start,"start[40,1]",40,1,40.6
2,start,"start[40,2]",40,2,47.786301
2,start,"start[40,3]",40,3,56.452422
2,start,"start[41,1]",41,1,28.5
2,start,"start[41,2]",41,2,35.147479
2,start,"start[41,3]",41,3,42.066191
2,start,"start[44,1]",44,1,63.05513
2,start,"start[44,2]",44,2,72.718756
2,start,"start[44,3]",44,3,81.707103
2,start,"start[45,1]",45,1,76.738649
2,start,"start[45,2]",45,2,86.992123
2,start,"start[45,3]",45,3,97.172311
2,start,"start[62,1]",62,1,70.810737
2,start,"start[62,2]",62,2,80.454396
2,start,"start[62,3]",62,3,90.293295
2,o,"o[2,1]",2,1,63.05513
2,o,"o[2,2]",2,2,72.718756
2,o,"o[2,3]",2,3,81.707103
2,o,"o[22,1]",22,1,90.994236
2,o,"o[22,2]",22,2,102.201512
2,o,"o[22,3]",22,3,113.827107
2,o,"o[23,1]",23,1,40.508771
2,o,"o[23,2]",23,2,47.786301
2,o,"o[23,3]",23,3,56.452422
2,o,"o[26,1]",26,1,16.098683
2,o,"o[26,2]",26,2,27.296169
2,o,"o[26,3]",26,3,40.080073
2,o,"o[34,1]",34,1,54.946777
2,o,"o[34,2]",34,2,63.865278
2,o,"o[34,3]",34,3,72.847512
2,o,"o[40,1]",40,1,46.826202
2,o,"o[40,2]",40,2,54.055918
2,o,"o[40,3]",40,3,63.505247
2,o,"o[41,1]",41,1,35.147479
2,o,"o[41,2]",41,2,42.066191
2,o,"o[41,3]",41,3,49.931375
2,o,"o[44,1]",44,1,70.810737
2,o,"o[44,2]",44,2,80.454396
2,o,"o[44,3]",44,3,90.293295
2,o,"o[45,1]",45,1,82.37567
2,o,"o[45,2]",45,2,93.219373
2,o,"o[45,3]",45,3,103.969534
2,o,"o[62,1]",62,1,76.738649
2,o,"o[62,2]",62,2,86.992123
2,o,"o[62,3]",62,3,97.172311
2,t,t[2],2,,86.007103
2,t,t[22],22,,118.427107
2,t,t[23],23,,59.452422
2,t,t[26],26,,42.780073
2,t,t[34],34,,76.347512
2,t,t[40],40,,66.605247
2,t,t[41],41,,51.531375
2,t,t[44],44,,92.893295
2,t,t[45],45,,106.969534
2,t,t[62],62,,100.972311
2,d,d[2],2,,0.0
2,d,d[22],22,,0.727107
2,d,d[23],23,,0.0
2,d,d[26],26,,0.0
2,d,d[34],34,,0.0
2,d,d[40],40,,0.0
2,d,d[41],41,,0.0
2,d,d[44],44,,0.0
2,d,d[45],45,,0.0
2,d,d[62],62,,0.0
3,start,"start[1,1]",1,1,46.4
3,start,"start[1,2]",1,2,58.165061
3,start,"start[1,3]",1,3,67.730482
3,start,"start[1,4]",1,4,78.696864
3,start,"start[53,1]",53,1,34.6
3,start,"start[53,2]",53,2,45.714733
3,start,"start[53,3]",53,3,54.847908
3,start,"start[53,4]",53,4,64.852449
3,start,"start[56,1]",56,1,65.2
3,start,"start[56,2]",56,2,74.621608
3,start,"start[56,3]",56,3,82.289833
3,start,"start[56,4]",56,4,90.703785
3,o,"o[1,1]",1,1,58.165061
3,o,"o[1,2]",1,2,67.730482
3,o,"o[1,3]",1,3,78.696864
3,o,"o[1,4]",1,4,90.07995
3,o,"o[53,1]",53,1,45.714733
3,o,"o[53,2]",53,2,54.847908
3,o,"o[53,3]",53,3,64.852449
3,o,"o[53,4]",53,4,74.591256
3,o,"o[56,1]",56,1,74.621608
3,o,"o[56,2]",56,2,82.289833
3,o,"o[56,3]",56,3,90.703785
3,o,"o[56,4]",56,4,99.887738
3,t,t[1],1,,94.67995
3,t,t[53],53,,77.091256
3,t,t[56],56,,103.287738
3,d,d[1],1,,0.0
3,d,d[53],53,,0.0
3,d,d[56],56,,0.0
4,start,"start[17,1]",17,1,68.340579
4,start,"start[17,2]",17,2,80.888622
4,start,"start[17,3]",17,3,93.314888
4,start,"start[35,1]",35,1,58.1
4,start,"start[35,2]",35,2,68.340579
4,start,"start[35,3]",35,3,77.795888
4,start,"start[47,1]",47,1,9.6
4,start,"start[47,2]",47,2,18.878186
4,start,"start[47,3]",47,3,28.452828
4,o,"o[17,1]",17,1,80.888622
4,o,"o[17,2]",17,2,93.314888
4,o,"o[17,3]",17,3,106.096425
4,o,"o[35,1]",35,1,68.340579
4,o,"o[35,2]",35,2,77.795888
4,o,"o[35,3]",35,3,87.690804
4,o,"o[47,1]",47,1,18.878186
4,o,"o[47,2]",47,2,28.452828
4,o,"o[47,3]",47,3,37.858267
4,t,t[17],17,,107.096425
4,t,t[35],35,,88.790804
4,t,t[47],47,,40.358267
4,d,d[17],17,,0.0
4,d,d[35],35,,0.0
4,d,d[47],47,,0.0
5,start,"start[10,1]",10,1,31.282638
5,start,"start[10,2]",10,2,41.177119
5,start,"start[10,3]",10,3,50.232828
5,start,"start[12,1]",12,1,22.109061
5,start,"start[12,2]",12,2,31.282638
5,start,"start[12,3]",12,3,41.177119
5,start,"start[14,1]",14,1,13.727781
5,start,"start[14,2]",14,2,22.751709
5,start,"start[14,3]",14,3,31.152052
5,start,"start[16,1]",16,1,69.325725
5,start,"start[16,2]",16,2,81.040499
5,start,"start[16,3]",16,3,90.450503
5,start,"start[19,1]",19,1,5.6
5,start,"start[19,2]",19,2,13.727781
5,start,"start[19,3]",19,3,22.751709
5,start,"start[20,1]",20,1,75.853766
5,start,"start[20,2]",20,2,88.210966
5,start,"start[20,3]",20,3,96.856082
5,start,"start[29,1]",29,1,81.843593
5,start,"start[29,2]",29,2,94.800627
5,start,"start[29,3]",29,3,107.028461
5,start,"start[33,1]",33,1,37.631776
5,start,"start[33,2]",33,2,48.446787
5,start,"start[33,3]",33,3,56.754643
5,start,"start[39,1]",39,1,52.730664
5,start,"start[39,2]",39,2,63.963308
5,start,"start[39,3]",39,3,71.923212
5,start,"start[42,1]",42,1,59.193073
5,start,"start[42,2]",42,2,70.750807
5,start,"start[42,3]",42,3,81.040499
5,start,"start[49,1]",49,1,45.734698
5,start,"start[49,2]",49,2,56.754643
5,start,"start[49,3]",49,3,64.7022
5,o,"o[10,1]",10,1,37.631776
5,o,"o[10,2]",10,2,48.446787
5,o,"o[10,3]",10,3,56.682047
5,o,"o[12,1]",12,1,31.282638
5,o,"o[12,2]",12,2,41.177119
5,o,"o[12,3]",12,3,50.232828
5,o,"o[14,1]",14,1,22.109061
5,o,"o[14,2]",14,2,31.152052
5,o,"o[14,3]",14,3,39.488575
5,o,"o[16,1]",16,1,75.853766
5,o,"o[16,2]",16,2,88.210966
5,o,"o[16,3]",16,3,96.856082
5,o,"o[19,1]",19,1,13.727781
5,o,"o[19,2]",19,2,22.751709
5,o,"o[19,3]",19,3,30.970694
5,o,"o[20,1]",20,1,81.843593
5,o,"o[20,2]",20,2,94.800627
5,o,"o[20,3]",20,3,103.026088
5,o,"o[29,1]",29,1,93.358352
5,o,"o[29,2]",29,2,107.028461
5,o,"o[29,3]",29,3,117.524052
5,o,"o[33,1]",33,1,45.734698
5,o,"o[33,2]",33,2,56.754643
5,o,"o[33,3]",33,3,64.7022
5,o,"o[39,1]",39,1,59.193073
5,o,"o[39,2]",39,2,70.750807
5,o,"o[39,3]",39,3,77.847943
5,o,"o[42,1]",42,1,69.325725
5,o,"o[42,2]",42,2,81.040499
5,o,"o[42,3]",42,3,90.450503
5,o,"o[49,1]",49,1,52.730664
5,o,"o[49,2]",49,2,63.963308
5,o,"o[49,3]",49,3,71.923212
5,t,t[10],10,,60.582047
5,t,t[12],12,,52.132828
5,t,t[14],14,,46.988575
5,t,t[16],16,,98.656082
5,t,t[19],19,,31.570694
5,t,t[20],20,,108.126088
5,t,t[29],29,,120.724052
5,t,t[33],33,,67.4022
5,t,t[39],39,,83.647943
5,t,t[42],42,,94.650503
5,t,t[49],49,,75.723212
5,d,d[10],10,,0.0
5,d,d[12],12,,0.0
5,d,d[14],14,,0.0
5,d,d[16],16,,0.0
5,d,d[19],19,,0.0
5,d,d[20],20,,0.0
5,d,d[29],29,,0.0
5,d,d[33],33,,0.0
5,d,d[39],39,,0.0
5,d,d[42],42,,0.0
5,d,d[49],49,,0.0
6,start,"start[4,1]",4,1,33.446401
6,start,"start[4,2]",4,2,42.120051
6,start,"start[4,3]",4,3,52.028492
6,start,"start[5,1]",5,1,9.9
6,start,"start[5,2]",5,2,15.675824
6,start,"start[5,3]",5,3,20.857733
6,start,"start[6,1]",6,1,24.501983
6,start,"start[6,2]",6,2,33.446401
6,start,"start[6,3]",6,3,42.308867
6,start,"start[24,1]",24,1,72.591878
6,start,"start[24,2]",24,2,81.781227
6,start,"start[24,3]",24,3,93.65894
6,start,"start[50,1]",50,1,40.800457
6,start,"start[50,2]",50,2,49.116528
6,start,"start[50,3]",50,3,59.536401
6,start,"start[54,1]",54,1,15.675824
6,start,"start[54,2]",54,2,24.501983
6,start,"start[54,3]",54,3,33.104336
6,start,"start[59,1]",59,1,79.136817
6,start,"start[59,2]",59,2,87.786512
6,start,"start[59,3]",59,3,100.280655
6,start,"start[60,1]",60,1,47.130441
6,start,"start[60,2]",60,2,55.464892
6,start,"start[60,3]",60,3,66.386854
6,start,"start[61,1]",61,1,65.228007
6,start,"start[61,2]",61,2,75.036076
6,start,"start[61,3]",61,3,86.163889
6,start,"start[64,1]",64,1,55.464892
6,start,"start[64,2]",64,2,65.228007
6,start,"start[64,3]",64,3,75.402556
6,o,"o[4,1]",4,1,40.800457
6,o,"o[4,2]",4,2,49.116528
6,o,"o[4,3]",4,3,59.536401
6,o,"o[5,1]",5,1,15.675824
6,o,"o[5,2]",5,2,20.857733
6,o,"o[5,3]",5,3,26.797093
6,o,"o[6,1]",6,1,33.446401
6,o,"o[6,2]",6,2,42.120051
6,o,"o[6,3]",6,3,52.028492
6,o,"o[24,1]",24,1,79.136817
6,o,"o[24,2]",24,2,87.786512
6,o,"o[24,3]",24,3,100.280655
6,o,"o[50,1]",50,1,47.130441
6,o,"o[50,2]",50,2,54.961565
6,o,"o[50,3]",50,3,66.386854
6,o,"o[54,1]",54,1,24.501983
6,o,"o[54,2]",54,2,33.104336
6,o,"o[54,3]",54,3,42.308867
6,o,"o[59,1]",59,1,86.182988
6,o,"o[59,2]",59,2,94.944381
6,o,"o[59,3]",59,3,107.780402
6,o,"o[60,1]",60,1,55.464892
6,o,"o[60,2]",60,2,63.680875
6,o,"o[60,3]",60,3,75.402556
6,o,"o[61,1]",61,1,72.591878
6,o,"o[61,2]",61,2,81.781227
6,o,"o[61,3]",61,3,93.65894
6,o,"o[64,1]",64,1,65.228007
6,o,"o[64,2]",64,2,75.036076
6,o,"o[64,3]",64,3,86.163889
6,t,t[4],4,,63.436401
6,t,t[5],5,,35.897093
6,t,t[6],6,,57.328492
6,t,t[24],24,,105.680655
6,t,t[50],50,,70.486854
6,t,t[54],54,,48.408867
6,t,t[59],59,,108.980402
6,t,t[60],60,,80.102556
6,t,t[61],61,,100.65894
6,t,t[64],64,,87.863889
6,d,d[4],4,,0.0
6,d,d[5],5,,0.0
6,d,d[6],6,,0.0
6,d,d[24],24,,0.0
6,d,d[50],50,,0.0
6,d,d[54],54,,0.0
6,d,d[59],59,,0.0
6,d,d[60],60,,0.0
6,d,d[61],61,,0.0
6,d,d[64],64,,0.0
7,start,"start[8,1]",8,1,25.671076
7,start,"start[8,2]",8,2,33.079746
7,start,"start[8,3]",8,3,41.475796
7,start,"start[8,4]",8,4,56.055581
7,start,"start[15,1]",15,1,19.0
7,start,"start[15,2]",15,2,25.89638
7,start,"start[15,3]",15,3,34.340639
7,start,"start[15,4]",15,4,41.475796
7,start,"start[28,1]",28,1,67.868021
7,start,"start[28,2]",28,2,78.517198
7,start,"start[28,3]",28,3,88.396808
7,start,"start[28,4]",28,4,99.345261
7,start,"start[30,1]",30,1,40.624181
7,start,"start[30,2]",30,2,50.395217
7,start,"start[30,3]",30,3,59.76196
7,start,"start[30,4]",30,4,70.928691
7,start,"start[51,1]",51,1,50.395217
7,start,"start[51,2]",51,2,59.76196
7,start,"start[51,3]",51,3,70.928691
7,start,"start[51,4]",51,4,80.73612
7,start,"start[52,1]",52,1,60.8
7,start,"start[52,2]",52,2,67.868021
7,start,"start[52,3]",52,3,78.343527
7,start,"start[52,4]",52,4,88.125249
7,start,"start[57,1]",57,1,10.4
7,start,"start[57,2]",57,2,18.242541
7,start,"start[57,3]",57,3,25.89638
7,start,"start[57,4]",57,4,48.046476
7,start,"start[63,1]",63,1,34.2
7,start,"start[63,2]",63,2,40.624181
7,start,"start[63,3]",63,3,49.927772
7,start,"start[63,4]",63,4,63.481559
7,o,"o[8,1]",8,1,33.079746
7,o,"o[8,2]",8,2,40.179533
7,o,"o[8,3]",8,3,49.927772
7,o,"o[8,4]",8,4,63.481559
7,o,"o[15,1]",15,1,25.671076
7,o,"o[15,2]",15,2,32.394548
7,o,"o[15,3]",15,3,41.475796
7,o,"o[15,4]",15,4,48.046476
7,o,"o[28,1]",28,1,78.517198
7,o,"o[28,2]",28,2,88.396808
7,o,"o[28,3]",28,3,99.345261
7,o,"o[28,4]",28,4,109.447167
7,o,"o[30,1]",30,1,50.395217
7,o,"o[30,2]",30,2,59.76196
7,o,"o[30,3]",30,3,70.928691
7,o,"o[30,4]",30,4,80.73612
7,o,"o[51,1]",51,1,57.162787
7,o,"o[51,2]",51,2,66.338904
7,o,"o[51,3]",51,3,78.343527
7,o,"o[51,4]",51,4,88.125249
7,o,"o[52,1]",52,1,67.868021
7,o,"o[52,2]",52,2,75.117224
7,o,"o[52,3]",52,3,86.330384
7,o,"o[52,4]",52,4,95.769114
7,o,"o[57,1]",57,1,18.242541
7,o,"o[57,2]",57,2,25.89638
7,o,"o[57,3]",57,3,34.340639
7,o,"o[57,4]",57,4,56.055581
7,o,"o[63,1]",63,1,40.624181
7,o,"o[63,2]",63,2,46.367323
7,o,"o[63,3]",63,3,56.613918
7,o,"o[63,4]",63,4,69.925596
7,t,t[8],8,,66.481559
7,t,t[15],15,,52.146476
7,t,t[28],28,,112.447167
7,t,t[30],30,,81.43612
7,t,t[51],51,,95.025249
7,t,t[52],52,,97.169114
7,t,t[57],57,,57.955581
7,t,t[63],63,,76.825596
7,d,d[8],8,,0.0
7,d,d[15],15,,0.0
7,d,d[28],28,,0.847167
7,d,d[30],30,,0.0
7,d,d[51],51,,0.225249
7,d,d[52],52,,0.0
7,d,d[57],57,,0.0
7,d,d[63],63,,0.0
