factory,var_type,var_name,order,machine,value
1,start,"start[3,1]",3,1,12.2
1,start,"start[3,2]",3,2,21.830518
1,start,"start[3,3]",3,3,31.213285
1,start,"start[3,4]",3,4,41.032969
1,start,"start[3,5]",3,5,50.334196
1,start,"start[5,1]",5,1,4.0
1,start,"start[5,2]",5,2,11.7311
1,start,"start[5,3]",5,3,19.231662
1,start,"start[5,4]",5,4,27.21546
1,start,"start[5,5]",5,5,35.556646
1,start,"start[16,1]",16,1,41.048863
1,start,"start[16,2]",16,2,48.815509
1,start,"start[16,3]",16,3,58.941599
1,start,"start[16,4]",16,4,68.950949
1,start,"start[16,5]",16,5,79.272141
1,start,"start[20,1]",20,1,32.451338
1,start,"start[20,2]",20,2,41.136772
1,start,"start[20,3]",20,3,50.66636
1,start,"start[20,4]",20,4,60.253166
1,start,"start[20,5]",20,5,70.479169
1,start,"start[29,1]",29,1,22.9
1,start,"start[29,2]",29,2,32.451338
1,start,"start[29,3]",29,3,41.136772
1,start,"start[29,4]",29,4,50.66636
1,start,"start[29,5]",29,5,60.942675
1,o,"o[3,1]",3,1,21.830518
1,o,"o[3,2]",3,2,31.213285
1,o,"o[3,3]",3,3,41.032969
1,o,"o[3,4]",3,4,50.334196
1,o,"o[3,5]",3,5,60.942675
1,o,"o[5,1]",5,1,11.7311
1,o,"o[5,2]",5,2,19.231662
1,o,"o[5,3]",5,3,27.21546
1,o,"o[5,4]",5,4,35.556646
1,o,"o[5,5]",5,5,43.779274
1,o,"o[16,1]",16,1,48.139489
1,o,"o[16,2]",16,2,55.066116
1,o,"o[16,3]",16,3,65.582931
1,o,"o[16,4]",16,4,75.572594
1,o,"o[16,5]",16,5,86.400003
1,o,"o[20,1]",20,1,41.048863
1,o,"o[20,2]",20,2,48.815509
1,o,"o[20,3]",20,3,58.941599
1,o,"o[20,4]",20,4,68.950949
1,o,"o[20,5]",20,5,79.272141
1,o,"o[29,1]",29,1,32.451338
1,o,"o[29,2]",29,2,41.136772
1,o,"o[29,3]",29,3,50.66636
1,o,"o[29,4]",29,4,60.253166
1,o,"o[29,5]",29,5,70.479169
1,t,t[3],3,,68.442675
1,t,t[5],5,,49.079274
1,t,t[16],16,,93.400003
1,t,t[20],20,,81.472141
1,t,t[29],29,,72.379169
1,d,d[3],3,,0.0
1,d,d[5],5,,0.0
1,d,d[16],16,,2.800003
1,d,d[20],20,,0.0
1,d,d[29],29,,0.0
2,start,"start[2,1]",2,1,50.062857
2,start,"start[2,2]",2,2,62.570689
2,start,"start[2,3]",2,3,73.828041
2,start,"start[14,1]",14,1,31.80133
2,start,"start[14,2]",14,2,39.855118
2,start,"start[14,3]",14,3,49.354496
2,start,"start[23,1]",23,1,6.1
2,start,"start[23,2]",23,2,16.401823
2,start,"start[23,3]",23,3,25.912925
2,start,"start[24,1]",24,1,40.2
2,start,"start[24,2]",24,2,50.062857
2,start,"start[24,3]",24,3,58.738099
2,start,"start[30,1]",30,1,62.570689
2,start,"start[30,2]",30,2,73.998229
2,start,"start[30,3]",30,3,85.599511
2,start,"start[33,1]",33,1,16.401823
2,start,"start[33,2]",33,2,25.912925
2,start,"start[33,3]",33,3,35.040494
2,start,"start[40,1]",40,1,24.284127
2,start,"start[40,2]",40,2,33.326207
2,start,"start[40,3]",40,3,42.466303
2,o,"o[2,1]",2,1,62.570689
2,o,"o[2,2]",2,2,73.828041
2,o,"o[2,3]",2,3,85.599511
2,o,"o[14,1]",14,1,38.61354
2,o,"o[14,2]",14,2,45.62725
2,o,"o[14,3]",14,3,55.216012
2,o,"o[23,1]",23,1,16.401823
2,o,"o[23,2]",23,2,25.912925
2,o,"o[23,3]",23,3,35.040494
2,o,"o[24,1]",24,1,50.062857
2,o,"o[24,2]",24,2,58.738099
2,o,"o[24,3]",24,3,67.082013
2,o,"o[30,1]",30,1,73.998229
2,o,"o[30,2]",30,2,84.355533
2,o,"o[30,3]",30,3,95.840862
2,o,"o[33,1]",33,1,24.284127
2,o,"o[33,2]",33,2,33.326207
2,o,"o[33,3]",33,3,42.466303
2,o,"o[40,1]",40,1,31.80133
2,o,"o[40,2]",40,2,39.855118
2,o,"o[40,3]",40,3,49.354496
2,t,t[2],2,,89.999511
2,t,t[14],14,,60.416012
2,t,t[23],23,,38.040494
2,t,t[24],24,,73.582013
2,t,t[30],30,,98.640862
2,t,t[33],33,,48.666303
2,t,t[40],40,,52.154496
2,d,d[2],2,,0.0
2,d,d[14],14,,0.0
2,d,d[23],23,,0.0
2,d,d[24],24,,0.0
2,d,d[30],30,,0.0
2,d,d[33],33,,0.0
2,d,d[40],40,,0.0
3,start,"start[6,1]",6,1,27.2
3,start,"start[6,2]",6,2,34.322967
3,start,"start[6,3]",6,3,44.135216
3,start,"start[6,4]",6,4,53.549664
3,start,"start[7,1]",7,1,33.910654
3,start,"start[7,2]",7,2,42.605533
3,start,"start[7,3]",7,3,51.864712
3,start,"start[7,4]",7,4,61.42691
3,start,"start[11,1]",11,1,2.4
3,start,"start[11,2]",11,2,10.054276
3,start,"start[11,3]",11,3,17.938379
3,start,"start[11,4]",11,4,27.268621
3,start,"start[12,1]",12,1,51.315456
3,start,"start[12,2]",12,2,62.649468
3,start,"start[12,3]",12,3,73.396755
3,start,"start[12,4]",12,4,85.712695
3,start,"start[22,1]",22,1,42.605533
3,start,"start[22,2]",22,2,51.315456
3,start,"start[22,3]",22,3,61.098814
3,start,"start[22,4]",22,4,71.408645
3,start,"start[25,1]",25,1,11.1
3,start,"start[25,2]",25,2,19.377966
3,start,"start[25,3]",25,3,27.873514
