record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0010001659393310547,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}"
validated,2,10754.343847400763,465.9995661,38595.14585674909,2.588795969739913,0.10800004005432129,31,"{""1"": [1, 3, 9, 12, 18, 23, 26, 27, 31], ""2"": [6, 7, 10, 29, 43], ""3"": [2, 4, 5, 8, 16, 17, 33, 34, 36, 42], ""4"": [22, 24, 32, 40], ""5"": [11, 15, 20]}"
validated,3,12102.192485529353,897.3480243,13810.100919518252,0.14112388610832735,0.1660001277923584,28,"{""1"": [12, 13, 17, 19, 22, 26, 28, 37], ""2"": [6, 7, 10, 29], ""3"": [4, 5, 8, 14, 24, 33, 34, 35, 42, 43], ""4"": [32, 40], ""5"": [9, 11, 15, 25]}"
validated,4,12184.618029550078,1295.7851814,13810.100919518252,0.13340450115268782,0.22699999809265137,30,"{""1"": [12, 13, 17, 19, 22, 26, 28, 37, 44], ""2"": [6, 7, 10, 29], ""3"": [4, 5, 8, 14, 24, 33, 34, 35, 42, 43], ""4"": [32, 40], ""5"": [9, 11, 15, 20, 25]}"
validated,5,13026.778366602724,276.6695802,13548.512829341842,0.04005092034702219,1.6660001277923584,30,"{""1"": [9, 13, 17, 18, 19, 22, 26, 28, 37, 44], ""2"": [6, 7, 10, 29], ""3"": [4, 8, 14, 16, 21, 24, 33, 34, 35, 43], ""4"": [32, 40], ""5"": [11, 15, 20, 25]}"
validated,6,13184.537396145872,219.5867124,13545.148126095793,0.027351033950977766,1.8240001201629639,30,"{""1"": [3, 9, 13, 17, 19, 22, 26, 28, 37, 44], ""2"": [6, 7, 10, 29], ""3"": [4, 8, 14, 21, 24, 33, 34, 35, 42, 43], ""4"": [32, 40], ""5"": [11, 15, 20, 25]}"
validated,7,13247.601975287347,265.2400398,13433.29216739344,0.014016890940148047,3.692000150680542,30,"{""1"": [9, 12, 13, 17, 18, 19, 22, 26, 37, 44], ""2"": [6, 7, 10, 29], ""3"": [4, 5, 8, 14, 16, 24, 33, 34, 42, 43], ""4"": [32, 40], ""5"": [11, 15, 20, 25]}"
validated,8,13280.914938442473,102.5176764,13433.29216739344,0.011473398456148622,4.008000135421753,29,"{""1"": [9, 13, 17, 19, 20, 22, 26, 28, 37, 44], ""2"": [6, 7, 10, 29], ""3"": [4, 5, 8, 14, 16, 24, 33, 34, 42, 43], ""4"": [32, 40], ""5"": [11, 15, 25]}"
validated,9,13282.213427838651,76.932768,13359.146195838648,0.005792164718476131,5.666000127792358,29,"{""1"": [9, 13, 17, 19, 20, 22, 26, 28, 37, 44], ""2"": [6, 7, 10, 29], ""3"": [4, 5, 8, 14, 24, 33, 34, 35, 42, 43], ""4"": [32, 40], ""5"": [11, 15, 25]}"
validated,10,13287.309232734959,55.339053,13336.554181710422,0.0037061641384955827,6.087000131607056,30,"{""1"": [9, 12, 13, 17, 19, 22, 26, 37, 38, 44], ""2"": [6, 7, 10, 20, 29], ""3"": [4, 5, 8, 14, 24, 33, 34, 35, 42, 43], ""4"": [32, 40], ""5"": [11, 15, 25]}"
final_result,final,13287.309232734959,55.339053,13287.30923273496,1.3689674648833695e-16,6.9690001010894775,30,"{""1"": [9, 12, 13, 17, 19, 22, 26, 37, 38, 44], ""2"": [6, 7, 10, 20, 29], ""3"": [4, 5, 8, 14, 24, 33, 34, 35, 42, 43], ""4"": [32, 40], ""5"": [11, 15, 25]}"
