factory,var_type,var_name,order,machine,value
1,start,"start[12,1]",12,1,55.1
1,start,"start[12,2]",12,2,64.099243
1,start,"start[12,3]",12,3,75.345808
1,start,"start[12,4]",12,4,85.942973
1,start,"start[12,5]",12,5,96.154677
1,start,"start[25,1]",25,1,21.7
1,start,"start[25,2]",25,2,29.492799
1,start,"start[25,3]",25,3,38.886124
1,start,"start[25,4]",25,4,47.966294
1,start,"start[25,5]",25,5,56.83858
1,start,"start[39,1]",39,1,37.1
1,start,"start[39,2]",39,2,46.810734
1,start,"start[39,3]",39,3,57.738628
1,start,"start[39,4]",39,4,67.846538
1,start,"start[39,5]",39,5,78.37614
1,o,"o[12,1]",12,1,64.099243
1,o,"o[12,2]",12,2,75.345808
1,o,"o[12,3]",12,3,85.942973
1,o,"o[12,4]",12,4,96.154677
1,o,"o[12,5]",12,5,104.699289
1,o,"o[25,1]",25,1,29.492799
1,o,"o[25,2]",25,2,38.886124
1,o,"o[25,3]",25,3,47.966294
1,o,"o[25,4]",25,4,56.83858
1,o,"o[25,5]",25,5,64.429335
1,o,"o[39,1]",39,1,46.810734
1,o,"o[39,2]",39,2,57.738628
1,o,"o[39,3]",39,3,67.846538
1,o,"o[39,4]",39,4,78.37614
1,o,"o[39,5]",39,5,87.88646
1,t,t[12],12,,110.599289
1,t,t[25],25,,68.329335
1,t,t[39],39,,91.48646
1,d,d[12],12,,0.0
1,d,d[25],25,,0.0
1,d,d[39],39,,0.0
2,start,"start[5,1]",5,1,19.237428
2,start,"start[5,2]",5,2,27.441715
2,start,"start[5,3]",5,3,35.721645
2,start,"start[7,1]",7,1,91.339065
2,start,"start[7,2]",7,2,102.333323
2,start,"start[7,3]",7,3,112.751854
2,start,"start[8,1]",8,1,27.31117
2,start,"start[8,2]",8,2,35.721645
2,start,"start[8,3]",8,3,43.166292
2,start,"start[14,1]",14,1,13.165995
2,start,"start[14,2]",14,2,21.590053
2,start,"start[14,3]",14,3,28.958949
2,start,"start[17,1]",17,1,46.906793
2,start,"start[17,2]",17,2,56.11363
2,start,"start[17,3]",17,3,63.197793
2,start,"start[18,1]",18,1,64.758716
2,start,"start[18,2]",18,2,74.429426
2,start,"start[18,3]",18,3,83.636274
2,start,"start[20,1]",20,1,40.51549
2,start,"start[20,2]",20,2,49.335413
2,start,"start[20,3]",20,3,56.991273
2,start,"start[29,1]",29,1,54.259625
2,start,"start[29,2]",29,2,64.758716
2,start,"start[29,3]",29,3,74.429426
2,start,"start[30,1]",30,1,79.626138
2,start,"start[30,2]",30,2,91.339065
2,start,"start[30,3]",30,3,102.333323
2,start,"start[33,1]",33,1,98.533114
2,start,"start[33,2]",33,2,109.673177
2,start,"start[33,3]",33,3,119.366606
2,start,"start[36,1]",36,1,32.549987
2,start,"start[36,2]",36,2,41.18051
2,start,"start[36,3]",36,3,49.335413
2,start,"start[38,1]",38,1,4.7
2,start,"start[38,2]",38,2,13.165995
2,start,"start[38,3]",38,3,21.590053
2,start,"start[41,1]",41,1,70.669524
2,start,"start[41,2]",41,2,80.816657
2,start,"start[41,3]",41,3,90.074357
2,o,"o[5,1]",5,1,27.31117
2,o,"o[5,2]",5,2,35.721645
2,o,"o[5,3]",5,3,43.166292
2,o,"o[7,1]",7,1,98.533114
2,o,"o[7,2]",7,2,109.673177
