record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0010001659393310547,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}"
validated,2,13478.209741888073,713.8123728,16197.263665497427,0.20173702410632316,0.1680002212524414,33,"{""1"": [], ""2"": [1, 2, 14, 23, 27, 31, 35, 37, 38, 44, 52], ""3"": [5, 6, 8, 9, 11, 13, 26, 43], ""4"": [4, 7, 10, 17, 19, 32], ""5"": [18, 22, 25, 29, 40, 41, 42, 50]}"
validated,3,13790.333021215018,713.8123728,16197.263665497427,0.17453752861367397,0.312000036239624,34,"{""1"": [54], ""2"": [1, 2, 14, 23, 27, 31, 35, 37, 38, 44, 52], ""3"": [5, 6, 8, 9, 11, 13, 26, 43], ""4"": [4, 7, 10, 17, 19, 32], ""5"": [18, 22, 25, 29, 40, 41, 42, 50]}"
validated,4,14251.000264269467,1087.6689366,15931.011092594481,0.11788722175082594,0.9290001392364502,34,"{""1"": [54], ""2"": [1, 2, 6, 19, 23, 27, 31, 35, 38, 44, 52], ""3"": [5, 7, 8, 9, 11, 26, 39, 43], ""4"": [4, 10, 17, 32, 47], ""5"": [18, 22, 25, 29, 40, 41, 42, 45, 50]}"
validated,5,14329.91739194982,829.3149366,15865.31887062469,0.10714656872602892,2.625,34,"{""1"": [54], ""2"": [1, 2, 6, 19, 23, 27, 31, 35, 38, 44, 52], ""3"": [5, 7, 8, 9, 11, 26, 39, 43], ""4"": [4, 10, 17, 32, 47], ""5"": [18, 21, 22, 25, 29, 40, 41, 42, 45]}"
validated,6,14331.425955288914,1370.6727489,15861.336884800137,0.10675217764681817,3.510000228881836,37,"{""1"": [32], ""2"": [1, 2, 23, 27, 31, 35, 36, 38, 44, 52], ""3"": [5, 6, 9, 11, 13, 14, 26, 29, 33], ""4"": [4, 7, 10, 19, 43, 47, 54], ""5"": [8, 17, 18, 22, 25, 39, 40, 41, 42, 45]}"
validated,7,14488.690798385851,578.7988725,15861.26577938821,0.09473423100141486,3.9710001945495605,35,"{""1"": [32], ""2"": [1, 2, 23, 27, 31, 35, 36, 38, 44, 52], ""3"": [5, 6, 9, 11, 13, 14, 26, 29], ""4"": [4, 7, 10, 19, 43, 47, 54], ""5"": [8, 17, 22, 25, 39, 40, 41, 42, 45]}"
validated,8,14744.398880016317,822.9334983000001,15861.26577938821,0.07574855431275859,4.601000070571899,36,"{""1"": [32], ""2"": [1, 2, 23, 27, 31, 35, 36, 38, 44, 52], ""3"": [5, 6, 9, 11, 13, 14, 26, 29, 43], ""4"": [4, 7, 10, 17, 19, 47, 54], ""5"": [8, 18, 22, 25, 39, 40, 41, 42, 45]}"
validated,9,14817.195705311122,884.5614168,15861.26577938821,0.070463405818609,5.009000062942505,36,"{""1"": [32], ""2"": [1, 2, 6, 23, 27, 31, 35, 36, 38, 44, 52], ""3"": [5, 9, 11, 13, 14, 26, 29, 42], ""4"": [4, 7, 10, 19, 43, 47, 54], ""5"": [8, 17, 18, 22, 25, 39, 40, 41, 45]}"
validated,10,14987.968005079787,583.9602242999999,15796.733861826959,0.053961007687837424,5.992000102996826,36,"{""1"": [32], ""2"": [1, 2, 6, 23, 27, 31, 35, 36, 38, 44, 52], ""3"": [5, 9, 11, 13, 14, 26, 29, 42, 51], ""4"": [4, 7, 10, 43, 47, 54], ""5"": [8, 17, 18, 22, 25, 39, 40, 41, 45]}"
validated,11,15021.846645013959,296.8382214,15795.533212118527,0.05150409169976252,6.991000175476074,36,"{""1"": [54], ""2"": [1, 6, 14, 19, 23, 27, 30, 31, 35, 38, 44], ""3"": [5, 9, 11, 13, 21, 26, 42, 43, 51], ""4"": [4, 7, 10, 17, 25, 32, 47], ""5"": [8, 18, 22, 29, 39, 40, 41, 45]}"
validated,12,15095.563777349855,231.82099920000002,15795.533212118527,0.04636921449856296,7.462000131607056,36,"{""1"": [32, 41], ""2"": [1, 23, 27, 30, 31, 35, 36, 38, 44, 52], ""3"": [5, 6, 9, 11, 13, 14, 21, 26, 43], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 29, 39, 40, 42, 45]}"
validated,13,15110.130332610514,89.3022792,15769.368941193208,0.04362891610272437,8.127000093460083,35,"{""1"": [32], ""2"": [1, 23, 27, 30, 31, 35, 36, 38, 44, 52], ""3"": [5, 6, 9, 11, 13, 14, 21, 26, 43], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,14,15246.396053853585,118.77696509999998,15750.60559143433,0.03307073591685327,11.754000186920166,35,"{""1"": [32], ""2"": [1, 19, 23, 27, 30, 31, 35, 36, 38, 43], ""3"": [5, 6, 9, 11, 13, 14, 21, 26, 29], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,15,15247.37615476925,84.42254849999999,15750.60559143433,0.033004330158646636,17.85800004005432,35,"{""1"": [32], ""2"": [1, 2, 19, 23, 27, 31, 35, 36, 38, 43], ""3"": [5, 6, 9, 11, 13, 14, 21, 26, 29], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,16,15268.285159603853,15.133685999999999,15748.777716210703,0.031469975284330966,21.573000192642212,36,"{""1"": [32], ""2"": [1, 2, 19, 23, 27, 31, 35, 36, 38, 43], ""3"": [5, 6, 9, 11, 13, 14, 16, 26, 29, 51], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,17,15314.786767300528,89.3970696,15748.777716210703,0.028338034051953915,21.700000047683716,35,"{""1"": [32], ""2"": [1, 2, 19, 23, 27, 31, 35, 36, 38, 43], ""3"": [5, 6, 9, 11, 13, 14, 26, 29, 44], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,18,15333.52845337966,89.3970696,15731.343253087725,0.025944113314661295,23.943000078201294,35,"{""1"": [32], ""2"": [1, 2, 19, 23, 27, 30, 31, 35, 36, 38], ""3"": [5, 6, 9, 11, 13, 14, 26, 29, 44], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,19,15359.718577635298,5.5395534,15731.343253087725,0.024194758098858387,24.13100004196167,35,"{""1"": [32], ""2"": [1, 2, 19, 23, 27, 30, 31, 35, 36, 38], ""3"": [5, 9, 11, 13, 14, 26, 29, 43, 44], ""4"": [4, 7, 10, 17, 25, 47, 54], ""5"": [8, 18, 22, 39, 40, 41, 42, 45]}"
validated,20,15375.66164125243,96.12619769999999,15549.310734789131,0.011293763975060746,30.570000171661377,36,"{""1"": [22], ""2"": [1, 2, 6, 23, 27, 31, 35, 37, 38, 44, 52], ""3"": [5, 7, 9, 11, 13, 14, 26, 43], ""4"": [4, 10, 19, 32, 47, 54], ""5"": [8, 17, 18, 25, 29, 39, 40, 41, 42, 45]}"
validated,21,15392.2544943496,96.12619769999999,15521.978716695723,0.008427889650196757,33.3030002117157,37,"{""1"": [22], ""2"": [1, 2, 6, 23, 27, 31, 35, 37, 38, 44, 52], ""3"": [5, 7, 9, 11, 13, 14, 26, 43, 51], ""4"": [4, 10, 19, 32, 47, 54], ""5"": [8, 17, 18, 25, 29, 39, 40, 41, 42, 45]}"
final_result,final,15392.2544943496,96.12619769999999,15392.254494349598,1.1817563205010651e-16,49.223000049591064,37,"{""1"": [22], ""2"": [1, 2, 6, 23, 27, 31, 35, 37, 38, 44, 52], ""3"": [5, 7, 9, 11, 13, 14, 26, 43, 51], ""4"": [4, 10, 19, 32, 47, 54], ""5"": [8, 17, 18, 25, 29, 39, 40, 41, 42, 45]}"
