factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,5,1,16.725992,23.117919,23.117919,60.413703,0.113703
1,5,2,24.80769,32.194724,32.194724,60.413703,0.113703
1,5,3,32.194724,39.513329,39.513329,60.413703,0.113703
1,5,4,39.650302,46.992622,46.992622,60.413703,0.113703
1,5,5,46.992622,53.413703,53.413703,60.413703,0.113703
1,12,1,55.1,64.099243,64.099243,110.599289,0.0
1,12,2,64.099243,75.345808,75.345808,110.599289,0.0
1,12,3,75.345808,85.942973,85.942973,110.599289,0.0
1,12,4,85.942973,96.154677,96.154677,110.599289,0.0
1,12,5,96.154677,104.699289,104.699289,110.599289,0.0
1,25,1,23.117919,30.910718,30.910718,83.90221,2.10221
1,25,2,32.194724,41.588049,41.588049,83.90221,2.10221
1,25,3,54.458999,63.539169,63.539169,83.90221,2.10221
1,25,4,63.539169,72.411455,72.411455,83.90221,2.10221
1,25,5,72.411455,80.00221,80.00221,83.90221,2.10221
1,39,1,38.836448,48.547182,48.547182,97.287001,0.0
1,39,2,48.547182,59.475076,59.475076,97.287001,0.0
1,39,3,63.539169,73.647079,73.647079,97.287001,0.0
1,39,4,73.647079,84.176681,84.176681,97.287001,0.0
1,39,5,84.176681,93.687001,93.687001,97.287001,0.0
1,44,1,68.3,81.184658,81.184658,148.0,0.0
1,44,2,81.184658,97.430506,97.430506,148.0,0.0
1,44,3,97.430506,112.155996,112.155996,148.0,0.0
1,44,4,112.155996,127.018339,127.018339,148.0,0.0
1,44,5,127.345946,140.4,140.4,148.0,0.0
1,51,1,33.2,38.836448,38.836448,71.14882,1.44882
1,51,2,41.588049,48.2302,48.2302,71.14882,1.44882
1,51,3,48.2302,54.458999,54.458999,71.14882,1.44882
1,51,4,54.458999,61.183504,61.183504,71.14882,1.44882
1,51,5,61.183504,67.04882,67.04882,71.14882,1.44882
1,77,1,4.0,9.989151,9.989151,37.366417,0.0
1,77,2,9.989151,16.755237,16.755237,37.366417,0.0
1,77,3,16.755237,23.289748,23.289748,37.366417,0.0
1,77,4,23.289748,29.978993,29.978993,37.366417,0.0
1,77,5,29.978993,35.566417,35.566417,37.366417,0.0
1,85,1,9.989151,16.725992,16.725992,52.799759,0.0
1,85,2,16.755237,24.80769,24.80769,52.799759,0.0
1,85,3,24.80769,32.014387,32.014387,52.799759,0.0
1,85,4,32.014387,39.650302,39.650302,52.799759,0.0
1,85,5,39.650302,46.099759,46.099759,52.799759,0.0
2,7,1,91.464563,98.658612,98.658612,117.428889,0.0
2,7,2,100.470628,107.810482,107.810482,117.428889,0.0
2,7,3,109.314137,115.928889,115.928889,117.428889,0.0
