factory,var_type,var_name,order,machine,value
1,start,"start[1,1]",1,1,3.1
1,start,"start[1,2]",1,2,11.292225
1,start,"start[1,3]",1,3,19.541934
1,start,"start[3,1]",3,1,19.51815
1,start,"start[3,2]",3,2,28.435738
1,start,"start[3,3]",3,3,37.846975
1,start,"start[6,1]",6,1,11.292225
1,start,"start[6,2]",6,2,19.541934
1,start,"start[6,3]",6,3,27.780536
1,start,"start[12,1]",12,1,28.435738
1,start,"start[12,2]",12,2,40.26892
1,start,"start[12,3]",12,3,53.201146
1,o,"o[1,1]",1,1,11.292225
1,o,"o[1,2]",1,2,19.541934
1,o,"o[1,3]",1,3,27.447412
1,o,"o[3,1]",3,1,28.435738
1,o,"o[3,2]",3,2,37.846975
1,o,"o[3,3]",3,3,47.065892
1,o,"o[6,1]",6,1,19.51815
1,o,"o[6,2]",6,2,27.780536
1,o,"o[6,3]",6,3,35.336523
1,o,"o[12,1]",12,1,40.26892
1,o,"o[12,2]",12,2,53.201146
1,o,"o[12,3]",12,3,65.467701
1,t,t[1],1,,29.247412
1,t,t[3],3,,52.865892
1,t,t[6],6,,40.536523
1,t,t[12],12,,65.767701
1,d,d[1],1,,0.0
1,d,d[3],3,,0.0
1,d,d[6],6,,0.0
1,d,d[12],12,,0.667701
2,start,"start[9,1]",9,1,9.479157
2,start,"start[9,2]",9,2,18.598205
2,start,"start[9,3]",9,3,29.047663
2,start,"start[9,4]",9,4,38.247104
2,start,"start[14,1]",14,1,1.4
2,start,"start[14,2]",14,2,9.479157
2,start,"start[14,3]",14,3,18.598205
2,start,"start[14,4]",14,4,27.012612
2,start,"start[15,1]",15,1,17.803087
2,start,"start[15,2]",15,2,29.047663
2,start,"start[15,3]",15,3,38.247104
2,start,"start[15,4]",15,4,48.489488
2,o,"o[9,1]",9,1,17.803087
2,o,"o[9,2]",9,2,29.047663
2,o,"o[9,3]",9,3,38.247104
2,o,"o[9,4]",9,4,48.489488
2,o,"o[14,1]",14,1,9.479157
2,o,"o[14,2]",14,2,18.598205
2,o,"o[14,3]",14,3,27.012612
2,o,"o[14,4]",14,4,36.411422
2,o,"o[15,1]",15,1,25.484519
2,o,"o[15,2]",15,2,37.541438
2,o,"o[15,3]",15,3,46.952028
2,o,"o[15,4]",15,4,57.669064
2,t,t[9],9,,50.189488
2,t,t[14],14,,40.511422
2,t,t[15],15,,62.769064
2,d,d[9],9,,0.0
2,d,d[14],14,,0.0
2,d,d[15],15,,0.0
3,start,"start[2,1]",2,1,3.0
3,start,"start[2,2]",2,2,10.902487
3,start,"start[2,3]",2,3,18.323802
3,start,"start[7,1]",7,1,10.902487
3,start,"start[7,2]",7,2,18.43772
3,start,"start[7,3]",7,3,26.103972
3,start,"start[13,1]",13,1,18.43772
3,start,"start[13,2]",13,2,30.528612
3,start,"start[13,3]",13,3,42.776576
3,o,"o[2,1]",2,1,10.902487
3,o,"o[2,2]",2,2,18.323802
3,o,"o[2,3]",2,3,26.103972
3,o,"o[7,1]",7,1,18.43772
3,o,"o[7,2]",7,2,25.915584
3,o,"o[7,3]",7,3,33.653903
3,o,"o[13,1]",13,1,30.528612
3,o,"o[13,2]",13,2,42.776576
3,o,"o[13,3]",13,3,55.069001
3,t,t[2],2,,34.503972
3,t,t[7],7,,40.053903
3,t,t[13],13,,56.369001
3,d,d[2],2,,0.0
3,d,d[7],7,,0.0
3,d,d[13],13,,0.669001
