factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,2,1,21.292421,33.150615,33.150615,84.154201,0.554201
1,2,2,33.150615,43.951252,43.951252,84.154201,0.554201
1,2,3,43.951252,55.142674,55.142674,84.154201,0.554201
1,2,4,55.171786,66.376724,66.376724,84.154201,0.554201
1,2,5,66.376724,75.654201,75.654201,84.154201,0.554201
1,3,1,5.4,14.98613,14.98613,66.800165,0.0
1,3,2,14.98613,24.105302,24.105302,66.800165,0.0
1,3,3,24.105302,33.33483,33.33483,66.800165,0.0
1,3,4,45.792904,55.171786,55.171786,66.800165,0.0
1,3,5,55.171786,63.300165,63.300165,66.800165,0.0
1,6,1,14.98613,21.292421,21.292421,56.725578,1.425578
1,6,2,24.105302,30.258316,30.258316,56.725578,1.425578
1,6,3,33.33483,39.38853,39.38853,56.725578,1.425578
1,6,4,39.38853,45.792904,45.792904,56.725578,1.425578
1,6,5,45.792904,51.125578,51.125578,56.725578,1.425578
2,4,1,18.828454,25.925452,25.925452,63.811994,0.0
2,4,2,26.113163,32.287235,32.287235,63.811994,0.0
2,4,3,35.200472,42.573109,42.573109,63.811994,0.0
2,4,4,42.573109,48.971309,48.971309,63.811994,0.0
2,4,5,49.652172,55.811994,55.811994,63.811994,0.0
2,10,1,3.3,11.388755,11.388755,45.188557,0.0
2,10,2,11.388755,18.699903,18.699903,45.188557,0.0
2,10,3,18.699903,26.981021,26.981021,45.188557,0.0
2,10,4,26.981021,34.087355,34.087355,45.188557,0.0
2,10,5,34.087355,41.588557,41.588557,45.188557,0.0
2,13,1,25.925452,32.418234,32.418234,65.542947,2.142947
2,13,2,32.418234,38.726961,38.726961,65.542947,2.142947
2,13,3,42.573109,49.6513,49.6513,65.542947,2.142947
2,13,4,49.6513,55.802605,55.802605,65.542947,2.142947
2,13,5,55.811994,61.842947,61.842947,65.542947,2.142947
2,15,1,32.418234,38.65945,38.65945,72.203155,0.0
2,15,2,38.726961,44.417355,44.417355,72.203155,0.0
2,15,3,49.6513,56.105146,56.105146,72.203155,0.0
2,15,4,56.105146,61.855855,61.855855,72.203155,0.0
2,15,5,61.855855,67.903155,67.903155,72.203155,0.0
2,16,1,38.65945,51.116879,51.116879,100.573817,3.673817
2,16,2,51.116879,63.071703,63.071703,100.573817,3.673817
2,16,3,63.071703,75.656278,75.656278,100.573817,3.673817
2,16,4,75.656278,87.548813,87.548813,100.573817,3.673817
2,16,5,87.548813,98.573817,98.573817,100.573817,3.673817
2,19,1,11.388755,18.828454,18.828454,56.552172,0.0
2,19,2,18.828454,26.113163,26.113163,56.552172,0.0
2,19,3,26.981021,35.200472,35.200472,56.552172,0.0
2,19,4,35.200472,42.235941,42.235941,56.552172,0.0
2,19,5,42.235941,49.652172,49.652172,56.552172,0.0
3,1,1,52.746865,67.324524,67.324524,111.608123,3.108123
3,1,2,67.324524,80.489343,80.489343,111.608123,3.108123
3,1,3,80.489343,96.132505,96.132505,111.608123,3.108123
3,1,4,96.132505,111.108123,111.108123,111.608123,3.108123
3,5,1,18.095748,28.849321,28.849321,68.365702,0.0
3,5,2,28.849321,38.44629,38.44629,68.365702,0.0
3,5,3,38.44629,49.408551,49.408551,68.365702,0.0
3,5,4,49.408551,60.465702,60.465702,68.365702,0.0
3,9,1,8.8,18.095748,18.095748,54.185059,0.0
3,9,2,18.095748,26.80841,26.80841,54.185059,0.0
3,9,3,26.80841,37.011918,37.011918,54.185059,0.0
3,9,4,37.011918,46.785059,46.785059,54.185059,0.0
3,11,1,28.849321,38.814362,38.814362,75.090324,0.0
3,11,2,38.814362,48.329254,48.329254,75.090324,0.0
3,11,3,49.408551,60.143617,60.143617,75.090324,0.0
3,11,4,60.465702,71.290324,71.290324,75.090324,0.0
3,14,1,38.814362,52.746865,52.746865,100.181291,6.381291
3,14,2,52.746865,65.306081,65.306081,100.181291,6.381291
3,14,3,65.306081,80.215407,80.215407,100.181291,6.381291
3,14,4,80.215407,94.981291,94.981291,100.181291,6.381291
