factory,var_type,var_name,order,machine,value
1,start,"start[6,1]",6,1,5.1
1,start,"start[6,2]",6,2,12.594627
1,start,"start[6,3]",6,3,19.745897
1,start,"start[6,4]",6,4,26.207369
1,start,"start[6,5]",6,5,32.628289
1,start,"start[24,1]",24,1,20.508659
1,start,"start[24,2]",24,2,29.927003
1,start,"start[24,3]",24,3,39.147826
1,start,"start[24,4]",24,4,47.151549
1,start,"start[24,5]",24,5,59.179342
1,start,"start[29,1]",29,1,45.9
1,start,"start[29,2]",29,2,60.14351
1,start,"start[29,3]",29,3,72.088452
1,start,"start[29,4]",29,4,83.260897
1,start,"start[29,5]",29,5,94.454299
1,start,"start[33,1]",33,1,12.594627
1,start,"start[33,2]",33,2,20.508659
1,start,"start[33,3]",33,3,27.709806
1,start,"start[33,4]",33,4,34.581722
1,start,"start[33,5]",33,5,41.171923
1,o,"o[6,1]",6,1,12.594627
1,o,"o[6,2]",6,2,19.745897
1,o,"o[6,3]",6,3,26.207369
1,o,"o[6,4]",6,4,32.628289
1,o,"o[6,5]",6,5,39.185452
1,o,"o[24,1]",24,1,29.927003
1,o,"o[24,2]",24,2,39.147826
1,o,"o[24,3]",24,3,47.151549
1,o,"o[24,4]",24,4,56.004063
1,o,"o[24,5]",24,5,67.4
1,o,"o[29,1]",29,1,58.237605
1,o,"o[29,2]",29,2,72.088452
1,o,"o[29,3]",29,3,83.260897
1,o,"o[29,4]",29,4,94.454299
1,o,"o[29,5]",29,5,106.3
1,o,"o[33,1]",33,1,20.508659
1,o,"o[33,2]",33,2,27.709806
1,o,"o[33,3]",33,3,34.581722
1,o,"o[33,4]",33,4,41.171923
1,o,"o[33,5]",33,5,48.180622
1,t,t[6],6,,45.685452
1,t,t[24],24,,75.8
1,t,t[29],29,,114.1
1,t,t[33],33,,54.480622
1,d,d[6],6,,0.0
1,d,d[24],24,,0.0
1,d,d[29],29,,0.0
1,d,d[33],33,,0.0
2,start,"start[3,1]",3,1,51.858511
2,start,"start[3,2]",3,2,65.383127
2,start,"start[3,3]",3,3,75.449203
2,start,"start[5,1]",5,1,44.994848
2,start,"start[5,2]",5,2,58.450782
2,start,"start[5,3]",5,3,65.693559
2,start,"start[22,1]",22,1,27.900035
2,start,"start[22,2]",22,2,40.026645
2,start,"start[22,3]",22,3,49.523022
2,start,"start[26,1]",26,1,19.222596
2,start,"start[26,2]",26,2,30.765673
2,start,"start[26,3]",26,3,40.026645
2,start,"start[39,1]",39,1,11.62183
2,start,"start[39,2]",39,2,22.612835
2,start,"start[39,3]",39,3,32.217057
2,start,"start[40,1]",40,1,61.342967
2,start,"start[40,2]",40,2,75.449203
2,start,"start[40,3]",40,3,84.603998
2,start,"start[42,1]",42,1,36.74866
2,start,"start[42,2]",42,2,49.523022
2,start,"start[42,3]",42,3,58.450782
2,start,"start[43,1]",43,1,2.0
2,start,"start[43,2]",43,2,11.62183
2,start,"start[43,3]",43,3,22.612835
2,o,"o[3,1]",3,1,61.342967
2,o,"o[3,2]",3,2,75.449203
2,o,"o[3,3]",3,3,84.603998
2,o,"o[5,1]",5,1,51.858511
2,o,"o[5,2]",5,2,65.383127
2,o,"o[5,3]",5,3,71.92638
2,o,"o[22,1]",22,1,36.74866
2,o,"o[22,2]",22,2,49.523022
2,o,"o[22,3]",22,3,58.187179
2,o,"o[26,1]",26,1,27.900035
2,o,"o[26,2]",26,2,40.026645
2,o,"o[26,3]",26,3,47.669727
2,o,"o[39,1]",39,1,19.222596
2,o,"o[39,2]",39,2,30.765673
2,o,"o[39,3]",39,3,39.708757
2,o,"o[40,1]",40,1,68.668462
2,o,"o[40,2]",40,2,82.920903
2,o,"o[40,3]",40,3,91.500663
2,o,"o[42,1]",42,1,44.994848
2,o,"o[42,2]",42,2,58.450782
2,o,"o[42,3]",42,3,65.693559
2,o,"o[43,1]",43,1,11.62183
2,o,"o[43,2]",43,2,22.612835
2,o,"o[43,3]",43,3,32.217057
2,t,t[3],3,,90.003998
2,t,t[5],5,,81.42638
2,t,t[22],22,,65.387179
2,t,t[26],26,,51.369727
2,t,t[39],39,,46.108757
2,t,t[40],40,,93.600663
2,t,t[42],42,,73.793559
2,t,t[43],43,,42.017057
2,d,d[3],3,,0.503998
2,d,d[5],5,,0.0
2,d,d[22],22,,0.0
2,d,d[26],26,,0.0
2,d,d[39],39,,0.0
2,d,d[40],40,,0.0
2,d,d[42],42,,0.0
2,d,d[43],43,,0.0
3,start,"start[15,1]",15,1,4.8
3,start,"start[15,2]",15,2,14.922504
3,start,"start[15,3]",15,3,24.436048
3,start,"start[15,4]",15,4,34.597519
3,start,"start[31,1]",31,1,25.3
3,start,"start[31,2]",31,2,36.6644
3,start,"start[31,3]",31,3,48.456751
3,start,"start[31,4]",31,4,61.113728
3,o,"o[15,1]",15,1,14.922504
3,o,"o[15,2]",15,2,24.436048
3,o,"o[15,3]",15,3,34.597519
3,o,"o[15,4]",15,4,43.211026
3,o,"o[31,1]",31,1,36.6644
3,o,"o[31,2]",31,2,48.456751
3,o,"o[31,3]",31,3,61.113728
3,o,"o[31,4]",31,4,71.064315
3,t,t[15],15,,45.311026
3,t,t[31],31,,72.964315
3,d,d[15],15,,0.0
3,d,d[31],31,,0.0
4,start,"start[1,1]",1,1,9.461121
4,start,"start[1,2]",1,2,16.840301
4,start,"start[1,3]",1,3,24.125343
4,start,"start[8,1]",8,1,65.110235
4,start,"start[8,2]",8,2,72.592237
4,start,"start[8,3]",8,3,79.974265
4,start,"start[11,1]",11,1,42.260706
4,start,"start[11,2]",11,2,50.587913
4,start,"start[11,3]",11,3,58.80507
4,start,"start[16,1]",16,1,49.397617
4,start,"start[16,2]",16,2,57.047527
4,start,"start[16,3]",16,3,65.523504
4,start,"start[19,1]",19,1,57.014881
4,start,"start[19,2]",19,2,65.110235
4,start,"start[19,3]",19,3,72.592237
4,start,"start[21,1]",21,1,3.1
4,start,"start[21,2]",21,2,9.461121
4,start,"start[21,3]",21,3,15.487651
4,start,"start[23,1]",23,1,71.416051
4,start,"start[23,2]",23,2,80.148291
4,start,"start[23,3]",23,3,88.340423
4,start,"start[27,1]",27,1,16.840301
4,start,"start[27,2]",27,2,26.699105
4,start,"start[27,3]",27,3,35.383461
4,start,"start[36,1]",36,1,26.699105
4,start,"start[36,2]",36,2,35.840739
4,start,"start[36,3]",36,3,44.535558
4,start,"start[37,1]",37,1,35.840739
4,start,"start[37,2]",37,2,44.535558
4,start,"start[37,3]",37,3,52.827571
4,o,"o[1,1]",1,1,16.840301
4,o,"o[1,2]",1,2,24.125343
4,o,"o[1,3]",1,3,30.769712
4,o,"o[8,1]",8,1,71.416051
4,o,"o[8,2]",8,2,78.344711
4,o,"o[8,3]",8,3,85.4955
4,o,"o[11,1]",11,1,49.397617
4,o,"o[11,2]",11,2,57.047527
4,o,"o[11,3]",11,3,65.523504
4,o,"o[16,1]",16,1,57.014881
4,o,"o[16,2]",16,2,63.755668
4,o,"o[16,3]",16,3,72.462687
4,o,"o[19,1]",19,1,65.110235
4,o,"o[19,2]",19,2,72.592237
4,o,"o[19,3]",19,3,79.974265
4,o,"o[21,1]",21,1,9.461121
4,o,"o[21,2]",21,2,15.487651
4,o,"o[21,3]",21,3,21.496206
4,o,"o[23,1]",23,1,80.148291
4,o,"o[23,2]",23,2,88.340423
4,o,"o[23,3]",23,3,96.294544
4,o,"o[27,1]",27,1,26.699105
4,o,"o[27,2]",27,2,35.383461
4,o,"o[27,3]",27,3,44.422311
4,o,"o[36,1]",36,1,35.840739
4,o,"o[36,2]",36,2,44.535558
4,o,"o[36,3]",36,3,52.827571
4,o,"o[37,1]",37,1,42.260706
4,o,"o[37,2]",37,2,50.587913
4,o,"o[37,3]",37,3,58.80507
4,t,t[1],1,,34.069712
4,t,t[8],8,,89.0955
4,t,t[11],11,,69.923504
4,t,t[16],16,,78.662687
4,t,t[19],19,,83.074265
4,t,t[21],21,,23.896206
4,t,t[23],23,,101.194544
4,t,t[27],27,,51.822311
4,t,t[36],36,,58.127571
4,t,t[37],37,,61.70507
4,d,d[1],1,,0.0
4,d,d[8],8,,0.0
4,d,d[11],11,,0.0
4,d,d[16],16,,0.0
4,d,d[19],19,,0.0
4,d,d[21],21,,0.0
4,d,d[23],23,,0.594544
4,d,d[27],27,,0.0
4,d,d[36],36,,0.0
4,d,d[37],37,,0.0
5,start,"start[12,1]",12,1,24.131378
5,start,"start[12,2]",12,2,36.145381
5,start,"start[12,3]",12,3,47.370462
5,start,"start[13,1]",13,1,6.4
5,start,"start[13,2]",13,2,16.32743
5,start,"start[13,3]",13,3,25.861592
5,start,"start[25,1]",25,1,16.32743
5,start,"start[25,2]",25,2,25.861592
5,start,"start[25,3]",25,3,33.990196
5,start,"start[30,1]",30,1,58.963013
5,start,"start[30,2]",30,2,74.435727
5,start,"start[30,3]",30,3,88.551367
5,start,"start[32,1]",32,1,46.696252
5,start,"start[32,2]",32,2,58.963013
5,start,"start[32,3]",32,3,70.452172
5,start,"start[44,1]",44,1,36.145381
5,start,"start[44,2]",44,2,47.370462
5,start,"start[44,3]",44,3,58.091963
5,o,"o[12,1]",12,1,36.145381
5,o,"o[12,2]",12,2,47.370462
5,o,"o[12,3]",12,3,58.091963
5,o,"o[13,1]",13,1,16.32743
5,o,"o[13,2]",13,2,25.861592
5,o,"o[13,3]",13,3,33.990196
5,o,"o[25,1]",25,1,24.131378
5,o,"o[25,2]",25,2,33.383939
5,o,"o[25,3]",25,3,40.660781
5,o,"o[30,1]",30,1,74.435727
5,o,"o[30,2]",30,2,88.551367
5,o,"o[30,3]",30,3,101.413306
5,o,"o[32,1]",32,1,58.963013
5,o,"o[32,2]",32,2,70.452172
5,o,"o[32,3]",32,3,80.901
5,o,"o[44,1]",44,1,46.696252
5,o,"o[44,2]",44,2,57.365721
5,o,"o[44,3]",44,3,66.415956
5,t,t[12],12,,61.291963
5,t,t[13],13,,34.790196
5,t,t[25],25,,45.560781
5,t,t[30],30,,104.213306
5,t,t[32],32,,81.801
5,t,t[44],44,,70.215956
5,d,d[12],12,,0.0
5,d,d[13],13,,0.0
5,d,d[25],25,,0.0
5,d,d[30],30,,0.0
5,d,d[32],32,,0.0
5,d,d[44],44,,0.0
