factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,24,1,20.1,29.518344,29.518344,73.5,0.0
1,24,2,29.518344,38.739167,38.739167,73.5,0.0
1,24,3,40.023105,48.026828,48.026828,73.5,0.0
1,24,4,48.026828,56.879342,56.879342,73.5,0.0
1,24,5,56.879342,65.1,65.1,73.5,0.0
1,29,1,45.9,58.237605,58.237605,112.194095,0.0
1,29,2,58.237605,70.182547,70.182547,112.194095,0.0
1,29,3,70.182547,81.354992,81.354992,112.194095,0.0
1,29,4,81.354992,92.548394,92.548394,112.194095,0.0
1,29,5,92.548394,104.394095,104.394095,112.194095,0.0
1,33,1,8.3,16.214032,16.214032,53.7,0.0
1,33,2,16.214032,23.415179,23.415179,53.7,0.0
1,33,3,26.929184,33.8011,33.8011,53.7,0.0
1,33,4,33.8011,40.391301,40.391301,53.7,0.0
1,33,5,40.391301,47.4,47.4,53.7,0.0
2,3,1,51.565863,61.050319,61.050319,89.385296,0.0
2,3,2,64.764425,74.830501,74.830501,89.385296,0.0
2,3,3,74.830501,83.985296,83.985296,89.385296,0.0
2,5,1,44.7022,51.565863,51.565863,81.306001,0.0
2,5,2,57.83208,64.764425,64.764425,81.306001,0.0
2,5,3,65.57318,71.806001,71.806001,81.306001,0.0
2,9,1,37.253407,44.7022,44.7022,68.97318,0.0
2,9,2,50.372685,57.83208,57.83208,68.97318,0.0
2,9,3,59.036842,65.57318,65.57318,68.97318,0.0
2,22,1,28.404782,37.253407,37.253407,66.236842,0.0
2,22,2,40.876308,50.372685,50.372685,66.236842,0.0
2,22,3,50.372685,59.036842,59.036842,66.236842,0.0
2,27,1,19.222596,28.404782,28.404782,59.553093,0.0
2,27,2,30.765673,40.876308,40.876308,59.553093,0.0
2,27,3,40.876308,49.253093,49.253093,59.553093,0.0
2,39,1,11.62183,19.222596,19.222596,46.108757,0.0
2,39,2,22.612835,30.765673,30.765673,46.108757,0.0
2,39,3,32.217057,39.708757,39.708757,46.108757,0.0
2,40,1,61.050319,68.375814,68.375814,92.981961,0.0
2,40,2,74.830501,82.302201,82.302201,92.981961,0.0
2,40,3,83.985296,90.881961,90.881961,92.981961,0.0
2,43,1,2.0,11.62183,11.62183,42.017057,0.0
2,43,2,11.62183,22.612835,22.612835,42.017057,0.0
2,43,3,22.612835,32.217057,32.217057,42.017057,0.0
3,15,1,4.8,14.922504,14.922504,45.311026,0.0
3,15,2,14.922504,24.436048,24.436048,45.311026,0.0
3,15,3,24.436048,34.597519,34.597519,45.311026,0.0
3,15,4,34.597519,43.211026,43.211026,45.311026,0.0
4,6,1,9.461121,15.943347,15.943347,30.79606,0.0
4,6,2,15.943347,21.669543,21.669543,30.79606,0.0
4,6,3,21.669543,27.49606,27.49606,30.79606,0.0
4,8,1,56.345852,62.651668,62.651668,83.898437,0.0
4,8,2,65.389047,71.141521,71.141521,83.898437,0.0
4,8,3,74.777202,80.298437,80.298437,83.898437,0.0
4,11,1,25.084981,32.221892,32.221892,53.190247,0.0
4,11,2,33.7798,40.239414,40.239414,53.190247,0.0
4,11,3,42.071813,48.790247,48.790247,53.190247,0.0
4,16,1,48.728588,56.345852,56.345852,80.977202,0.0
4,16,2,58.680906,65.389047,65.389047,80.977202,0.0
4,16,3,67.838019,74.777202,74.777202,80.977202,0.0
4,19,1,62.651668,70.747022,70.747022,90.780465,0.0
4,19,2,71.141521,78.623523,78.623523,90.780465,0.0
4,19,3,80.298437,87.680465,87.680465,90.780465,0.0
4,21,1,3.1,9.461121,9.461121,23.896206,0.0
4,21,2,9.461121,15.487651,15.487651,23.896206,0.0
4,21,3,15.487651,21.496206,21.496206,23.896206,0.0
4,23,1,70.747022,79.479262,79.479262,100.534586,0.0
4,23,2,79.479262,87.671394,87.671394,100.534586,0.0
4,23,3,87.680465,95.634586,95.634586,100.534586,0.0
4,31,1,38.641859,48.728588,48.728588,70.938019,0.0
4,31,2,48.728588,58.680906,58.680906,70.938019,0.0
4,31,3,58.680906,67.838019,67.838019,70.938019,0.0
4,36,1,15.943347,25.084981,25.084981,47.371813,0.0
4,36,2,25.084981,33.7798,33.7798,47.371813,0.0
4,36,3,33.7798,42.071813,42.071813,47.371813,0.0
4,37,1,32.221892,38.641859,38.641859,57.667746,0.0
4,37,2,40.239414,46.291769,46.291769,57.667746,0.0
4,37,3,48.790247,54.767746,54.767746,57.667746,0.0
5,12,1,16.32743,28.341433,28.341433,53.488015,0.0
5,12,2,28.341433,39.566514,39.566514,53.488015,0.0
5,12,3,39.566514,50.288015,50.288015,53.488015,0.0
5,13,1,6.4,16.32743,16.32743,34.790196,0.0
5,13,2,16.32743,25.861592,25.861592,34.790196,0.0
5,13,3,25.861592,33.990196,33.990196,34.790196,0.0
5,25,1,38.892304,46.696252,46.696252,70.182593,0.0
5,25,2,49.561773,57.08412,57.08412,70.182593,0.0
5,25,3,58.612008,65.282593,65.282593,70.182593,0.0
5,30,1,58.963013,74.435727,74.435727,104.213306,0.0
5,30,2,74.435727,88.551367,88.551367,104.213306,0.0
5,30,3,88.551367,101.413306,101.413306,104.213306,0.0
5,32,1,46.696252,58.963013,58.963013,81.801,0.0
5,32,2,58.963013,70.452172,70.452172,81.801,0.0
5,32,3,70.452172,80.901,80.901,81.801,0.0
5,44,1,28.341433,38.892304,38.892304,62.412008,0.0
5,44,2,39.566514,49.561773,49.561773,62.412008,0.0
5,44,3,50.288015,58.612008,58.612008,62.412008,0.0
