factory,var_type,var_name,order,machine,value
1,start,"start[26,1]",26,1,16.214032
1,start,"start[26,2]",26,2,25.946376
1,start,"start[26,3]",26,3,36.053633
1,start,"start[26,4]",26,4,44.212075
1,start,"start[26,5]",26,5,53.499515
1,start,"start[29,1]",29,1,45.9
1,start,"start[29,2]",29,2,58.237605
1,start,"start[29,3]",29,3,70.182547
1,start,"start[29,4]",29,4,81.354992
1,start,"start[29,5]",29,5,92.548394
1,start,"start[33,1]",33,1,8.3
1,start,"start[33,2]",33,2,16.214032
1,start,"start[33,3]",33,3,23.415179
1,start,"start[33,4]",33,4,30.287095
1,start,"start[33,5]",33,5,36.877296
1,o,"o[26,1]",26,1,25.946376
1,o,"o[26,2]",26,2,36.053633
1,o,"o[26,3]",26,3,44.212075
1,o,"o[26,4]",26,4,53.499515
1,o,"o[26,5]",26,5,62.203493
1,o,"o[29,1]",29,1,58.237605
1,o,"o[29,2]",29,2,70.182547
1,o,"o[29,3]",29,3,81.354992
1,o,"o[29,4]",29,4,92.548394
1,o,"o[29,5]",29,5,104.394095
1,o,"o[33,1]",33,1,16.214032
1,o,"o[33,2]",33,2,23.415179
1,o,"o[33,3]",33,3,30.287095
1,o,"o[33,4]",33,4,36.877296
1,o,"o[33,5]",33,5,43.885995
1,t,t[26],26,,67.003493
1,t,t[29],29,,112.194095
1,t,t[33],33,,50.185995
1,d,d[26],26,,0.603493
1,d,d[29],29,,4.894095
1,d,d[33],33,,2.885995
2,start,"start[3,1]",3,1,34.954471
2,start,"start[3,2]",3,2,47.088929
2,start,"start[3,3]",3,3,57.155005
2,start,"start[5,1]",5,1,52.724669
2,start,"start[5,2]",5,2,66.663032
2,start,"start[5,3]",5,3,74.326407
2,start,"start[9,1]",9,1,19.222596
2,start,"start[9,2]",9,2,30.765673
2,start,"start[9,3]",9,3,39.708757
2,start,"start[14,1]",14,1,59.588332
2,start,"start[14,2]",14,2,73.595377
2,start,"start[14,3]",14,3,80.559228
2,start,"start[24,1]",24,1,26.671389
2,start,"start[24,2]",24,2,38.225068
2,start,"start[24,3]",24,3,47.088929
2,start,"start[32,1]",32,1,44.438927
2,start,"start[32,2]",32,2,57.155005
2,start,"start[32,3]",32,3,66.663032
2,start,"start[39,1]",39,1,11.62183
2,start,"start[39,2]",39,2,22.612835
2,start,"start[39,3]",39,3,32.217057
2,start,"start[40,1]",40,1,65.07212
2,start,"start[40,2]",40,2,79.464571
2,start,"start[40,3]",40,3,86.936271
2,start,"start[43,1]",43,1,2.0
2,start,"start[43,2]",43,2,11.62183
2,start,"start[43,3]",43,3,22.612835
2,o,"o[3,1]",3,1,44.438927
2,o,"o[3,2]",3,2,57.155005
2,o,"o[3,3]",3,3,66.3098
2,o,"o[5,1]",5,1,59.588332
2,o,"o[5,2]",5,2,73.595377
2,o,"o[5,3]",5,3,80.559228
2,o,"o[9,1]",9,1,26.671389
2,o,"o[9,2]",9,2,38.225068
2,o,"o[9,3]",9,3,46.245095
2,o,"o[14,1]",14,1,65.07212
2,o,"o[14,2]",14,2,79.464571
2,o,"o[14,3]",14,3,85.752842
2,o,"o[24,1]",24,1,34.954471
2,o,"o[24,2]",24,2,47.088929
2,o,"o[24,3]",24,3,54.231648
2,o,"o[32,1]",32,1,52.724669
2,o,"o[32,2]",32,2,66.663032
