record_type,iteration,objective,delay_cost,bound,gap,runtime_sec,selected_order_count,assignments_json
validated,1,0.0,0.0,1e+100,1e+100,0.0009999275207519531,0,"{""1"": [], ""2"": [], ""3"": [], ""4"": [], ""5"": []}"
validated,2,6953.583707252121,2166.8148669,41217.3481488882,4.92749722792598,0.1099998950958252,27,"{""1"": [], ""2"": [9, 14, 21, 28, 34, 39, 40, 41], ""3"": [5, 15, 16, 24, 29], ""4"": [1, 2, 3, 4, 7, 8, 19, 38], ""5"": [6, 11, 12, 23, 25, 44]}"
validated,3,12791.213917995727,531.8033058,13780.364866313643,0.0773304984702271,0.15899991989135742,27,"{""1"": [26, 29, 33], ""2"": [3, 5, 9, 24, 32, 39, 40, 43], ""3"": [15, 16], ""4"": [6, 8, 11, 19, 23, 27, 31, 36], ""5"": [12, 13, 22, 25, 30, 44]}"
validated,4,12918.178839329037,1229.2306881,13780.364866313643,0.06674207237011646,0.2070000171661377,30,"{""1"": [26, 29, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15, 16], ""4"": [6, 8, 11, 19, 21, 23, 27, 31, 36, 37], ""5"": [12, 13, 22, 25, 30, 44]}"
validated,5,13027.399316330984,859.7866653,13619.824514450587,0.04547532348816131,1.250999927520752,30,"{""1"": [26, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15, 16, 29], ""4"": [6, 8, 11, 19, 21, 23, 27, 31, 36, 42], ""5"": [12, 13, 22, 25, 30, 44]}"
validated,6,13061.692814427812,438.89170590000003,13619.824514450587,0.042730426136363346,1.2829999923706055,29,"{""1"": [26, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15, 16, 29], ""4"": [8, 11, 19, 21, 23, 27, 31, 36, 42], ""5"": [12, 13, 22, 25, 30, 44]}"
validated,7,13065.258911177209,772.1795754,13619.824514450587,0.04244581810766512,1.3459999561309814,29,"{""1"": [26, 29, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15, 16], ""4"": [8, 11, 19, 21, 23, 27, 31, 36, 42], ""5"": [12, 13, 22, 25, 30, 44]}"
validated,8,13232.212560069249,605.6684789999999,13610.123711889351,0.028559936602025444,2.121999979019165,28,"{""1"": [26, 29, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15], ""4"": [6, 8, 11, 16, 19, 23, 27, 31, 36], ""5"": [12, 13, 22, 25, 30, 44]}"
validated,9,13450.289938223865,667.6398644999999,13593.115951410426,0.010618805530776635,2.9579999446868896,30,"{""1"": [26, 29, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15, 31], ""4"": [6, 8, 11, 16, 19, 21, 23, 27, 36, 42], ""5"": [12, 13, 22, 25, 30, 44]}"
final_result,final,13450.289938223865,667.6398644999999,13450.28992401593,1.0563292912245947e-09,5.250999927520752,30,"{""1"": [26, 29, 33], ""2"": [3, 5, 9, 14, 24, 32, 39, 40, 43], ""3"": [15, 31], ""4"": [6, 8, 11, 16, 19, 21, 23, 27, 36, 42], ""5"": [12, 13, 22, 25, 30, 44]}"
