factory,order,machine,start_time,end_time,completion_time,delivery_time,delay_time
1,29,1,45.9,58.237605,58.237605,112.194095,4.894095
1,29,2,58.237605,70.182547,70.182547,112.194095,4.894095
1,29,3,70.182547,81.354992,81.354992,112.194095,4.894095
1,29,4,81.354992,92.548394,92.548394,112.194095,4.894095
1,29,5,92.548394,104.394095,104.394095,112.194095,4.894095
2,5,1,51.917652,58.781315,58.781315,89.254124,0.0
2,5,2,65.857928,72.790273,72.790273,89.254124,0.0
2,5,3,73.521303,79.754124,79.754124,89.254124,0.0
2,9,1,36.183117,43.63191,43.63191,66.286239,0.0
2,9,2,48.890506,56.349901,56.349901,66.286239,0.0
2,9,3,56.349901,62.886239,62.886239,66.286239,0.0
2,14,1,58.781315,64.265103,64.265103,86.047738,0.547738
2,14,2,72.790273,78.659467,78.659467,86.047738,0.547738
2,14,3,79.754124,84.947738,84.947738,86.047738,0.547738
2,24,1,27.900035,36.183117,36.183117,63.333225,0.0
2,24,2,40.026645,48.890506,48.890506,63.333225,0.0
2,24,3,48.890506,56.033225,56.033225,63.333225,0.0
2,26,1,19.222596,27.900035,27.900035,51.369727,0.0
2,26,2,30.765673,40.026645,40.026645,51.369727,0.0
2,26,3,40.026645,47.669727,47.669727,51.369727,0.0
2,32,1,43.63191,51.917652,51.917652,80.221303,0.0
2,32,2,56.349901,65.857928,65.857928,80.221303,0.0
2,32,3,65.857928,73.521303,73.521303,80.221303,0.0
2,39,1,11.62183,19.222596,19.222596,46.108757,0.0
2,39,2,22.612835,30.765673,30.765673,46.108757,0.0
2,39,3,32.217057,39.708757,39.708757,46.108757,0.0
2,40,1,64.265103,71.590598,71.590598,95.127832,0.0
2,40,2,78.659467,86.131167,86.131167,95.127832,0.0
2,40,3,86.131167,93.027832,93.027832,95.127832,0.0
2,43,1,2.0,11.62183,11.62183,42.017057,0.0
2,43,2,11.62183,22.612835,22.612835,42.017057,0.0
2,43,3,22.612835,32.217057,32.217057,42.017057,0.0
3,15,1,4.8,14.922504,14.922504,45.311026,0.0
3,15,2,14.922504,24.436048,24.436048,45.311026,0.0
3,15,3,24.436048,34.597519,34.597519,45.311026,0.0
3,15,4,34.597519,43.211026,43.211026,45.311026,0.0
4,6,1,9.461121,15.943347,15.943347,30.79606,0.0
4,6,2,15.943347,21.669543,21.669543,30.79606,0.0
4,6,3,21.669543,27.49606,27.49606,30.79606,0.0
4,8,1,57.687571,63.993387,63.993387,85.240156,0.0
4,8,2,66.730766,72.48324,72.48324,85.240156,0.0
4,8,3,76.118921,81.640156,81.640156,85.240156,0.0
4,11,1,32.846667,39.983578,39.983578,60.951933,0.0
4,11,2,41.541486,48.0011,48.0011,60.951933,0.0
4,11,3,49.833499,56.551933,56.551933,60.951933,0.0
4,16,1,50.070307,57.687571,57.687571,82.318921,0.518921
4,16,2,60.022625,66.730766,66.730766,82.318921,0.518921
4,16,3,69.179738,76.118921,76.118921,82.318921,0.518921
4,19,1,63.993387,72.088741,72.088741,92.122184,0.0
4,19,2,72.48324,79.965242,79.965242,92.122184,0.0
4,19,3,81.640156,89.022184,89.022184,92.122184,0.0
4,21,1,3.1,9.461121,9.461121,23.896206,0.0
4,21,2,9.461121,15.487651,15.487651,23.896206,0.0
4,21,3,15.487651,21.496206,21.496206,23.896206,0.0
4,23,1,72.088741,80.820981,80.820981,101.876305,0.0
4,23,2,80.820981,89.013113,89.013113,101.876305,0.0
4,23,3,89.022184,96.976305,96.976305,101.876305,0.0
4,31,1,39.983578,50.070307,50.070307,72.279738,0.179738
4,31,2,50.070307,60.022625,60.022625,72.279738,0.179738
4,31,3,60.022625,69.179738,69.179738,72.279738,0.179738
4,33,1,15.943347,23.705033,23.705033,42.083579,0.0
4,33,2,23.705033,31.079936,31.079936,42.083579,0.0
4,33,3,31.079936,38.483579,38.483579,42.083579,0.0
4,36,1,23.705033,32.846667,32.846667,55.133499,0.0
4,36,2,32.846667,41.541486,41.541486,55.133499,0.0
4,36,3,41.541486,49.833499,49.833499,55.133499,0.0
5,12,1,16.32743,28.341433,28.341433,53.488015,0.0
5,12,2,28.341433,39.566514,39.566514,53.488015,0.0
5,12,3,39.566514,50.288015,50.288015,53.488015,0.0
5,13,1,6.4,16.32743,16.32743,34.790196,0.0
5,13,2,16.32743,25.861592,25.861592,34.790196,0.0
5,13,3,25.861592,33.990196,33.990196,34.790196,0.0
5,22,1,28.341433,39.059305,39.059305,63.48612,0.0
5,22,2,39.566514,49.454902,49.454902,63.48612,0.0
5,22,3,50.288015,59.38612,59.38612,63.48612,0.0
5,25,1,39.059305,46.863253,46.863253,70.956705,0.0
5,25,2,49.454902,56.977249,56.977249,70.956705,0.0
5,25,3,59.38612,66.056705,66.056705,70.956705,0.0
5,30,1,57.414124,72.886838,72.886838,102.664417,0.0
5,30,2,72.886838,87.002478,87.002478,102.664417,0.0
5,30,3,87.002478,99.864417,99.864417,102.664417,0.0
5,44,1,46.863253,57.414124,57.414124,79.533376,0.0
5,44,2,57.414124,67.409383,67.409383,79.533376,0.0
5,44,3,67.409383,75.733376,75.733376,79.533376,0.0
