factory,var_type,var_name,order,machine,value
1,start,"start[5,1]",5,1,94.03314
1,start,"start[5,2]",5,2,104.482618
1,start,"start[5,3]",5,3,113.658163
1,start,"start[8,1]",8,1,35.565136
1,start,"start[8,2]",8,2,44.162493
1,start,"start[8,3]",8,3,53.112973
1,start,"start[19,1]",19,1,84.669565
1,start,"start[19,2]",19,2,94.03314
1,start,"start[19,3]",19,3,102.467556
1,start,"start[35,1]",35,1,68.926708
1,start,"start[35,2]",35,2,76.83745
1,start,"start[35,3]",35,3,87.36965
1,start,"start[36,1]",36,1,18.488111
1,start,"start[36,2]",36,2,27.786813
1,start,"start[36,3]",36,3,36.293987
1,start,"start[40,1]",40,1,27.786813
1,start,"start[40,2]",40,2,36.060267
1,start,"start[40,3]",40,3,45.249697
1,start,"start[46,1]",46,1,44.162493
1,start,"start[46,2]",46,2,51.739914
1,start,"start[46,3]",46,3,61.201818
1,start,"start[54,1]",54,1,61.093104
1,start,"start[54,2]",54,2,70.019062
1,start,"start[54,3]",54,3,79.773074
1,start,"start[60,1]",60,1,104.482618
1,start,"start[60,2]",60,2,113.658163
1,start,"start[60,3]",60,3,123.609082
1,start,"start[61,1]",61,1,8.2
1,start,"start[61,2]",61,2,18.488111
1,start,"start[61,3]",61,3,26.914558
1,start,"start[66,1]",66,1,113.538089
1,start,"start[66,2]",66,2,123.266707
1,start,"start[66,3]",66,3,132.715116
1,start,"start[73,1]",73,1,75.911012
1,start,"start[73,2]",73,2,84.669565
1,start,"start[73,3]",73,3,94.075137
1,start,"start[76,1]",76,1,123.266707
1,start,"start[76,2]",76,2,133.905711
1,start,"start[76,3]",76,3,142.889685
1,start,"start[77,1]",77,1,51.268139
1,start,"start[77,2]",77,2,61.093104
1,start,"start[77,3]",77,3,70.019062
1,o,"o[5,1]",5,1,104.482618
1,o,"o[5,2]",5,2,113.658163
1,o,"o[5,3]",5,3,123.609082
1,o,"o[8,1]",8,1,44.162493
1,o,"o[8,2]",8,2,51.739914
1,o,"o[8,3]",8,3,61.201818
1,o,"o[19,1]",19,1,94.03314
1,o,"o[19,2]",19,2,102.113755
1,o,"o[19,3]",19,3,110.88559
1,o,"o[35,1]",35,1,75.911012
1,o,"o[35,2]",35,2,83.156745
1,o,"o[35,3]",35,3,94.075137
1,o,"o[36,1]",36,1,27.786813
1,o,"o[36,2]",36,2,36.060267
1,o,"o[36,3]",36,3,45.249697
1,o,"o[40,1]",40,1,35.565136
1,o,"o[40,2]",40,2,42.868102
1,o,"o[40,3]",40,3,53.112973
1,o,"o[46,1]",46,1,51.268139
1,o,"o[46,2]",46,2,57.518021
1,o,"o[46,3]",46,3,67.404712
1,o,"o[54,1]",54,1,68.926708
1,o,"o[54,2]",54,2,76.83745
1,o,"o[54,3]",54,3,87.36965
1,o,"o[60,1]",60,1,113.538089
1,o,"o[60,2]",60,2,122.182016
1,o,"o[60,3]",60,3,132.715116
1,o,"o[61,1]",61,1,18.488111
1,o,"o[61,2]",61,2,26.914558
1,o,"o[61,3]",61,3,36.293987
1,o,"o[66,1]",66,1,123.266707
1,o,"o[66,2]",66,2,131.981908
1,o,"o[66,3]",66,3,141.879892
1,o,"o[73,1]",73,1,84.669565
1,o,"o[73,2]",73,2,92.655655
1,o,"o[73,3]",73,3,102.467556
1,o,"o[76,1]",76,1,133.905711
1,o,"o[76,2]",76,2,142.889685
1,o,"o[76,3]",76,3,152.373162
1,o,"o[77,1]",77,1,61.093104
1,o,"o[77,2]",77,2,70.019062
1,o,"o[77,3]",77,3,79.773074
